# Generated by tools/dictgen — do not edit by hand.
# Language: Indonesian (id)
# Format: word|band|from|pos — what each word is. What it means is in
# gloss.<language>.txt, joined to this file on the headword.
#
# The band column is empty for any word ranks.txt ranks: the band is computed
# from the rank there. It is filled only for words the corpus never ranked.
yang|||
dan|||
di|||
ke|||
dari|||
ini|||
itu|||pron.;part.
reinkarnasi|||
anatomi|||
kayuh|||
ungkit|||
bintik|||
binatu|||
kuis|||
islandia|||
sumsum|||
loyal|||
kepsek|||
numpang|||
teleportasi|||
furnitur|||
sedap|||
bungkam|||
terik|||
lembu|||
marga|||
cincang|||
verifikasi|||
fleksibel|||
vokal|||
bundar|||
optik|||
pukau|||
resume|||
igau|||
resah|||
kondominium|||
sarden|||
tancap|||
gulma|||
bentang|||
tameng|||
lesat|||
sindir|||
genang|||
logat|||
ngengat|||
moralitas|||
konteks|||
fusi|||
gapai|||
pawai|||
hambar|||
fasih|||
gerangan|||
ekstasi|||
khotbah|||
puri|||
selenggara|||
perkakas|||
selfie|||
hologram|||
puzzle|||
kamuflase|||
siasat|||
runcing|||
bakti|||
ritme|||
alamiah|||
algojo|||
awet|||
pudar|||
singgasana|||
kabul|||
karakteristik|||
kilogram|||
cumi|||
tafsir|||
celoteh|||
derit|||
katedral|||
seka|||
maklum|||
persentase|||
selip|||
lingkup|||
keyboard|||
doang|||
klasifikasi|||
penalti|||
kadaluarsa|||
transfusi|||
brigade|||
kecoak|||
intensif|||
hibrida|||
jerawat|||
tiongkok|||
tandus|||
realita|||
meteorit|||
udik|||
wisuda|||
agresi|||
unjuk|||
reguler|||
mumpung|||
papas|||
baptis|||
fisikawan|||
urai|||
skuter|||
intuisi|||
alamak|||
entri|||
presisi|||
malaria|||
ijazah|||
duet|||
pulsa|||
kicau|||
kompartemen|||
sangga|||
dobrak|||
sanksi|||
sentimen|||
pantang|||
kosmetik|||
eksploitasi|||
aspal|||
keluyuran|||
betis|||
pasif|||
kepompong|||
sekunder|||
pancang|||
pasrah|||
kawal|||
katering|||
lendir|||
puing|||
kontroversial|||
infrastruktur|||
sumbu|||
pekik|||
variabel|||
daur|||
laris|||
terlantar||lantar|
tercela||cela|
inframerah|||
jajaran|||
marsekal|||
espresso|||
belut|||
hamster|||
tamak|||
sakral|||
finlandia|||
posting|||
belasungkawa|||
antariksa|||
sembur|||
paru|||
paru-paru|||n.
ikon|||
infanteri|||
ratap|||
tuntas|||
aparat|||
gembel|||
aktivis|||
salep|||
dinamis|||
melenceng|||
usik|||
moneter|||
vonis|||
impoten|||
lintang|||
filsuf|||
tikar|||
panutan|||
peron|||
rasio|||
menstruasi|||
mendingan|||
sumbat|||
stabilitas|||
selubung|||
gembok|||
maklumat|||
konvensional|||
lambung|||n.;v.
pijak|||
gede|||
deposito|||
publikasi|||
lalai|||
kurva|||
picik|||
parameter|||
sayat|||
akuisisi|||
kolot|||
gunduk|||
durasi|||
seteguk||teguk|
pangkas|||
alzheimer|||
cangkang|||
liberal|||
abis|||
pertapa|||
pelumas|||
suaka|||
karibia|||
silinder|||
tonik|||
temen|||
dioksida|||
gendang|||
dokumentasi|||
granit|||
pancur|||
demokrat|||
pergok|||
maskot|||
klimaks|||
impuls|||
waduh|||
kriteria|||
karbohidrat|||
ntar|||
epilepsi|||
keramik|||
pleton|||
proton|||
asbak|||
astrologi|||
lantar|||
bina|||
eksternal|||
sinkron|||
injeksi|||
observatorium|||
surfing|||
miras|||
konstelasi|||
venesia|||
cumbu|||
mangkok|||
royalti|||
sirna|||
bugar|||
geliat|||
residu|||
gaduh|||
spektrum|||
anal|||
ketel|||
tumbuk|||
eksplorasi|||
remuk|||
senjang|||
jajah|||
belang|||
kendala|||
pangsit|||
insulin|||
barter|||
epidemi|||
pondasi|||
lestari|||
gusar|||
eksentrik|||
keseleo|||
esensi|||
berhala|||
bosnia|||
printer|||
ekstradisi|||
redup|||
diagram|||
artistik|||
transponder|||
faksi|||
merica|||
asah|||
manjur|||
buyut|||
reproduksi|||
telusur|||
usil|||
selendang|||
kadet|||
lentur|||
manggung|||
jelata|||
akomodasi|||
longsor|||
mendung|||
supervisor|||
akta|||
tanggap|||
orde|||
biokimia|||
jemaat|||
blokade|||
setel|||
karavan|||
kobar|||
bumerang|||
diskualifikasi|||
kamboja|||
simpanse|||
efisiensi|||
koalisi|||
runding|||
regenerasi|||
maki|||
anestesi|||
deportasi|||
gelandang|||
konfrontasi|||
paprika|||
ulung|||
paradoks|||
propinsi|||
cuka|||
replika|||
manset|||
kisar|||
pacu|||
antusiasme|||
aluminium|||
rontok|||
sedar|||
mesra|||
glamor|||
pangan|||
skizofrenia|||
pangkuan|||
bertekuk||tekuk|
ubi|||
setapak||tapak|
ngotot|||
harmonis|||
merana|||
belenggu|||
pembalut|||
gerilyawan|||
masehi|||
insomnia|||
jakarta|||
sembari|||
gesek|||
kredibilitas|||
inovasi|||
talenta|||
merger|||
sentral|||
derak|||
buram|||
blus|||
simpel|||
antivirus|||
cemara|||
terpapar||papar|
seronok|||
setrum|||
selat|||
kikuk|||
dayang|||
mandor|||
nominasi|||
saldo|||
raba|||
gentar|||
senonoh|||
duplikat|||
konon|||
abnormal|||
segelintir|||
psikotik|||
mekkah|||
marmer|||
vakum|||
sikit|||
andil|||
kaktus|||
deru|||
cegukan|||
lisan|||
enteng|||
spionase|||
sarkasme|||
kronis|||
kuadrat|||
antibodi|||
fobia|||
gapapa|||
supernova|||
turbin|||
bruder|||
tesis|||
kerucut|||
perangko|||
otentik|||
seteru|||
kultus|||
bahama|||
wahana|||
akuntansi|||
piara|||
kasta|||
humas|||
toples|||
transparan|||
lasagna|||
mutilasi|||
hibernasi|||
feminin|||
tempa|||
kompak|||
larva|||
bejat|||
garang|||
kelontong|||
prasejarah|||
edit|||
mekanika|||
akademik|||
kontraksi|||
gugus|||
primata|||
sirkulasi|||
momentum|||
rahib|||
rehat|||
kontroversi|||
ekstrak|||
linggis|||
taik|||
headphone|||
psk|||
merosot|||
informal|||
konfederasi|||
permadani|||
gosong|||
mengenaskan|||
logistik|||
fiji|||
buritan|||
jadul|||
sisih|||
atlas|||
korporasi|||
senyap|||
temperamen|||
tudung|||
impulsif|||
timbal|||n.;adj.
gerogot|||
karachi|||
gedor|||
tebu|||
nubuat|||
hidrolik|||
objektif|||
waria|||
simak|||
rektor|||
endap|||
bumper|||
maen|||
combo|||
selangkangan|||
gembong|||
getah|||
ajal|||
silikon|||
rasul|||
gemar|||
dekorasi|||
dentang|||
obsesif|||
mekanis|||
napa|||
instal|||
kecoh|||
rembulan|||
ingusan|||
topang|||
silsilah|||
nobat|||
nikel|||
kemoterapi|||
instalasi|||
sujud|||
cela|||
jikalau|||
antek|||
ngarai|||
terumbu|||
spesialisasi|||
pundak|||
paragraf|||
kementrian|||
entitas|||
gading|||
rekonstruksi|||
steril|||
terbengkalai|||
rimba|||
semenanjung|||
teguk|||
mahakarya|||
ubin|||
palestina|||
indeks|||
waralaba|||
plutonium|||
suspensi|||
joki|||
salip|||
karamel|||
senar|||
kail|||
lebam|||
damping|||
acung|||
geometri|||
limpa|||
habitat|||
yaman|||
rentetan|||
aksesoris|||
tumbal|||
gorilla|||
silat|||
segan|||
insya|||
nitrat|||
pelopor|||
cekatan|||
elektron|||
ceramah|||
paranoia|||
boros|||
karcis|||
audit|||
segmen|||
syair|||
tekun|||
kemping|||
kempes|||
proyektor|||
kurator|||
gemuruh|||
tabloid|||
mandat|||
mosi|||
metropolitan|||
minivan|||
rendam|||
defensif|||
voli|||
bagel|||
pesimis|||
rotasi|||
protektif|||
nuansa|||
cicit|||
spons|||
babysitter|||
salsa|||
iba|||
alfabet|||
bangkang|||
kutip|||
baso|||
landa|||
miniatur|||
duda|||
aljabar|||
bongkah|||
sentak|||
militan|||
konstantinopel|||
mortir|||
literatur|||
gengsi|||
rawan|||
nostalgia|||
rekat|||
flora|||
orkestra|||
vektor|||
kerut|||
gadai|||
degup|||
menyalak||salak|
usap|||
wisma|||
luap|||
kolektif|||
kismis|||
serdadu|||
streaming|||
reformasi|||
gejolak|||
ion|||
kuas|||
mesias|||
cabik|||
wapres|||
nitro|||
ginseng|||
silau|||
pel|||
abstrak|||
spora|||
kucil|||
tegap|||
platinum|||
golok|||
jogging|||
probabilitas|||
lesu|||
mucikari|||
emisi|||
kopling|||
ganjaran|||
lempeng|||
patriotik|||
pestisida|||
dialek|||
postur|||
komoditas|||
kecup|||
deret|||
nota|||
celcius|||
neutron|||
seksualitas|||
pulas|||
pemulung|||
artifak|||
grafis|||
kiper|||
bintara|||
sedekah|||
minggat|||
oval|||
diameter|||
transkrip|||
mendikte|||
bidak|||
etnis|||
saring|||
filem|||
onani|||
moncong|||
sekujur|||
perih|||
kelvin|||
hangar|||
inovatif|||
metana|||
fenomenal|||
sekap|||
seprai|||
copet|||
mikroba|||
struktural|||
lakban|||
cengkeram|||
lontar|||
hibah|||
varietas|||
koyak|||
buncis|||
tamasya|||
cuat|||
diskriminasi|||
timbun|||
animasi|||
apresiasi|||
yoghurt|||
raket|||
aborigin|||
tribun|||
relativitas|||
basuh|||
prasasti|||
vulkanik|||
tercantum|||
diplomasi|||
wijen|||
sistematis|||
hipotetis|||
gelegar|||
mahjong|||
lelap|||
jenuh|||
tempurung|||
kompresi|||
britania|||
sebutir||butir|
kelar|||
sembelih|||
orangutan|||
ganggang|||
rizki|||
meringkik||ringkik|
resesi|||
ideologi|||
sekuel|||
konten|||
turbulensi|||
ajang|||
kibar|||
eksis|||
pubertas|||
interpretasi|||
jungkir|||
unggas|||
merajuk|||
denah|||
rabun|||
kloset|||
kremasi|||
biang|||
karuan|||
pamflet|||
sesepuh|||
insentif|||
culun|||
kuadran|||
lusuh|||
kontra|||
tawon|||
bujur|||
tekuk|||
saking|||
striptis|||
tentakel|||
berantas|||
tukik|||
milenium|||
oles|||
mediterania|||
imun|||
zakar|||
khalifah|||
grogi|||
merdu|||
coret|||
pengap|||
empedu|||
ketiak|||
gemilang|||
finalis|||
maharaja|||
idealis|||
puntung|||
rugby|||
puyuh|||
melotot|||
simfoni|||
jagat|||
sodium|||
laos|||
zina|||
kasut|||
termos|||
ekspos|||
progresif|||
tindih|||
elok|||
juragan|||
luhur|||
firdaus|||
tegur|||
landak|||
tuah|||
pajang|||
prasmanan|||
yakub|||
bollywood|||
pialang|||
gesit|||
bobot|||
silet|||
perumpamaan|||
diagnostik|||
mujarab|||
bentak|||
bokep|||
antarmuka|||
skors|||
lancong|||
kubu|||
misionaris|||
pekat|||
penghujung|||
miring|||
koordinasi|||
hajat|||
rukun|||adj.;n.
booming|||
butik|||
gombal|||
lobus|||
angker|||
persuasif|||
prosesor|||
reparasi|||
biometrik|||
anjur|||
terap|||
melati|||
itikad|||
matematis|||
piagam|||
saputangan|||
harpa|||
brokoli|||
vegan|||
libya|||
retina|||
matriks|||
gender|||
ultimatum|||
kemo|||
rayap|||
secarik|||
karnivora|||
momok|||
buket|||
gerilya|||
porselen|||
intensitas|||
giling|||
senggang|||
satwa|||
tabur|||
registrasi|||
terkam|||
ekspor|||
ringkas|||
yordania|||
safari|||
arsenal|||
jajak|||
pencet|||
ulama|||
sengketa|||
bacot|||
radiator|||
rentang|||
sigma|||
hambur|||
cecer|||
jamaika|||
sulfur|||
mandul|||
kreativitas|||
terpana|||
aktual|||
substansi|||
kapitalis|||
eksperimental|||
sodok|||
magnesium|||
lekuk|||
parsial|||
metabolisme|||
maskulin|||
demonstran|||
albino|||
bidan|||
idaman|||
lapak|||
labil|||
konversi|||
papar|||
visioner|||
fraksi|||
bebal|||
telekinesis|||
kuah|||
mimisan|||
kooperatif|||
portabel|||
gemerincing|||
diari|||
bayonet|||
biografi|||
sembelit|||
condong|||
migrain|||
lini|||
najis|||
bujang|||
neuron|||
bendahara|||
kalsium|||
jerih|||
katalis|||
kimono|||
patogen|||
notaris|||
duel|||
ilham|||
restorasi|||
lanskap|||
atribut|||
julang|||
afirmatif|||
ekspres|||
santap|||
konsol|||
vanila|||
wamil|||
neptunus|||
struk|||
tambal|||
cuek|||
tipikal|||
bengis|||
kapitalisme|||
lampir|||
lunar|||
sanak|||
administrator|||
junjung|||
beritahu|||
sahara|||
jangkar|||
sampan|||
musang|||
bulbul|||
jala|||
sia-sia|||
belalang|||
deras|||adj.
saudagar|||
singsing|||
telundakan|||
aum|||
kaka|||
parau|||
ranum|||
dusun|||
semayam|||
patuk|||
kubah|||
hempas|||
gelora|||
kafilah|||
bilah|||
benderang|||
hilir|||
hulu|||
harum|||
rempah|||
tebar|||
ronta|||
caci|||
semena-mena|||
hikmah|||
kokok|||
sebrang|||
laras|||
rusuk|||
geletak|||
ringkik|||
termenung|||
ancang-ancang|||
hinggap|||
gumam|||
ratu|||
lebat|||adj.
senantiasa|||
bongkok|||
bengkok|||
solek|||
kayangan|||
angguk|||
niscaya|||
jelma|||
sela|||
gelung|||
kenan|||
meraung-raung||raung|
tercebur|||
mega|||
oase|||
kurma|||
desis|||
merajalela|||
serempet|||
tengger|||
talang|||
gersang|||
derap|||
serentak|||
kepul|||
decit|||
telentang|||
gabus|||
tengadah|||
secuil|||
gong|||
jurai|||
stalaktit|||
aneka|||
remang|||
bubung|||v.;n.
buih|||
torpedo|||
kalang-kabut|||
kerumun|||
raung|||
desing|||
jingkat|||
gembur|||
kerikil|||
ufuk|||
girang|||
gembung|||
ambrol|||
ransel|||
terali|||
belit|||
terpa|||
huyung|||
kuping|||
ah|||
alpen|||
kelep|||
ac|||
siput|||
rubah|||n.;v.
pental|||
hentak|||v.;n.
petani||tani|n.
pedagang||dagang|n.
berenang||renang|v.
pendidikan||didik|n.
terhadap||hadap|prep.
pemandangan||pandang|n.
membayangkan||bayang|v.
penelitian||teliti|n.
peluang||luang|n.
penumpang||tumpang|n.
kemasan||kemas|n.
pelayan||layan|n.
perpustakaan||pustaka|n.
pelanggan||langgan|n.
kebijakan||bijak|n.
terkejut||kejut|adj.
melakukan||laku|v.
jurusan||jurus|
mengaku||aku|v.
mengakui||aku|v.
akui||aku|v.
diakui||aku|v.
mengamati||amat|v.
bersama||sama|adv.
berdiri||diri|
berhenti||henti|v.
mengumumkan||umum|v.
keputusan||putus|n.
kesimpulan||simpul|n.
mengalami||alam|v.
menabung||tabung|v.
mengolah||olah|v.
mengobrol||obrol|v.
mengarang||karang|v.
kehilangan||hilang|
kesempatan||sempat|
kehidupan||hidup|
kekuatan||kuat|
kematian||mati|
kesalahan||salah|
keadaan||ada|
keamanan||aman|
keberatan||berat|n.;v.
ketakutan||takut|n.;adj.
kemungkinan||mungkin|
kejadian||jadi|
kebenaran||benar|
kelihatan||lihat|
kehormatan||hormat|
kebanyakan||banyak|
kegelapan||gelap|
kesulitan||sulit|
kenyataan||nyata|
kecepatan||cepat|
keinginan||ingin|
kehabisan||habis|
kekacauan||kacau|
kemenangan||menang|
kebaikan||baik|
keuntungan||untung|
kebakaran||bakar|
kebohongan||bohong|
kekerasan||keras|
keajaiban||ajaib|
keberanian||berani|
kelaparan||lapar|
kepercayaan||percaya|
kerusakan||rusak|
keadilan||adil|
kesepian||sepi|adj.;n.
kekuasaan||kuasa|
kebebasan||bebas|
kepolisian||polisi|
kebahagiaan||bahagia|
kesehatan||sehat|
kesenangan||senang|
keselamatan||selamat|
keturunan||turun|
kebiasaan||biasa|
keyakinan||yakin|
kedatangan||datang|
kemarahan||marah|
ketinggalan||tinggal|
kekurangan||kurang|
kemajuan||maju|
keuangan||uang|
kebutuhan||butuh|
kedamaian||damai|
kepentingan||penting|
kesedihan||sedih|
kegagalan||gagal|
kedinginan||dingin|
ketahuan||tahu|
kelemahan||lemah|
kegiatan||giat|
kehancuran||hancur|
keseluruhan||seluruh|
kebencian||benci|
kesakitan||sakit|
keterlaluan||terlalu|
keahlian||ahli|
ketinggian||tinggi|
kegilaan||gila|
kekayaan||kaya|
kecantikan||cantik|
keraguan||ragu|
kelahiran||lahir|
keributan||ribut|
keindahan||indah|
kejuaraan||juara|
kesamaan||sama|
keterampilan||terampil|
kelelahan||lelah|
kedutaan||duta|
kepribadian||pribadi|
kehadiran||hadir|
kerugian||rugi|
kebanggaan||bangga|
kesetiaan||setia|
kemanusiaan||manusia|
kesadaran||sadar|
kekalahan||kalah|
kebingungan||bingung|
kesabaran||sabar|
kecerdasan||cerdas|
kecanduan||candu|
ketenangan||tenang|
kesaksian||saksi|
kebocoran||bocor|
kewajiban||wajib|
kesatuan||satu|
kekaisaran||kaisar|
kediaman||diam|
kedokteran||dokter|
kegembiraan||gembira|
kedalaman||dalam|
kemerdekaan||merdeka|
kemuliaan||mulia|
kejujuran||jujur|
kelebihan||lebih|
kebodohan||bodoh|
kebijaksanaan||bijaksana|
kebangkitan||bangkit|
kedengaran||dengar|
kerusuhan||rusuh|
kekhawatiran||khawatir|
kenyamanan||nyaman|
kelulusan||lulus|
kebisingan||bising|
kemaluan||malu|
kesuksesan||sukses|
keterangan||terang|
kejayaan||jaya|
kenaikan||naik|
kebersihan||bersih|
kehamilan||hamil|
kecurigaan||curiga|
kesukaan||suka|
kejaksaan||jaksa|
kelewatan||lewat|
kelangsungan||langsung|
keheningan||hening|
keanehan||aneh|
kekebalan||kebal|
keramaian||ramai|
ketenaran||tenar|
keperluan||perlu|
kepuasan||puas|
kerasukan||rasuk|
keterlibatan||terlibat|
kenikmatan||nikmat|
keracunan||racun|
kemauan||mau|
kehangatan||hangat|
kejauhan||jauh|
kesayangan||sayang|
kesejahteraan||sejahtera|
kekosongan||kosong|
kecemasan||cemas|
kepanasan||panas|
keserakahan||serakah|
kesengsaraan||sengsara|
kepanikan||panik|
kemurahan||murah|
kelainan||lain|
kemiskinan||miskin|
kecenderungan||cenderung|
kesempurnaan||sempurna|
kelakuan||laku|
kecurangan||curang|
keburukan||buruk|
kekecewaan||kecewa|
kesopanan||sopan|
kepastian||pasti|
kebudayaan||budaya|
kejiwaan||jiwa|
keberangkatan||berangkat|
kepunahan||punah|
ketiduran||tidur|
kesombongan||sombong|
kedudukan||duduk|
kengerian||ngeri|
kecocokan||cocok|
kerahasiaan||rahasia|
kehebatan||hebat|
kemalangan||malang|
kerajinan||rajin|
kewenangan||wenang|
ketertiban||tertib|
kehakiman||hakim|
kebersamaan||bersama|
kemacetan||macet|
ketentuan||tentu|
kesusahan||susah|
kepergian||pergi|
kemiripan||mirip|
kemunduran||mundur|
kepulauan||pulau|
kementerian||menteri|
kebalikan||balik|
kesucian||suci|
kepikiran||pikir|
kekeringan||kering|
kesunyian||sunyi|
keliatan||liat|
kebesaran||besar|
kehausan||haus|
kesendirian||sendiri|
kecemburuan||cemburu|
kepunyaan||punya|
ketagihan||tagih|
kegelisahan||gelisah|
keunggulan||unggul|
kekeliruan||keliru|
kerinduan||rindu|
pembunuh||bunuh|
petugas||tugas|
penjaga||jaga|
pengacara||acara|
pemimpin||pimpin|
petunjuk||tunjuk|
pemain||main|
penyakit||sakit|
pencuri||curi|
pemilik||milik|
pelatih||latih|
pemburu||buru|
pembohong||bohong|
pekerja||kerja|
pendapat||dapat|
penulis||tulis|
pengantin|||
pemuda||muda|
pemenang||menang|
penyebab||sebab|
pengawal||kawal|
penembak||tembak|
pemberontak||berontak|
penonton||tonton|
penipu||tipu|
pelindung||lindung|
penari||tari|
penutup||tutup|
penerjemah||terjemah|
pembuat||buat|
penyelamat||selamat|
pejabat||jabat|
penguasa||kuasa|
petarung||tarung|
pengawasan||awas|
pemberani||berani|
pengawas||awas|
pembantu||bantu|
penyanyi||nyanyi|
peledak||ledak|
penjual||jual|
pengunjung||kunjung|
pengaman||aman|
pengganti||ganti|
pembawa||bawa|
pengasuh||asuh|
pemandu||pandu|
pewaris||waris|
pemabuk||mabuk|
pengendali||kendali|
pengedar||edar|
pengusaha||usaha|
pemula||mula|
pembeli||beli|
pengemudi||kemudi|
pengintai||intai|
penyusup||susup|
pendukung||dukung|
pengikut||ikut|
pembalap||balap|
penawar||tawar|
penakut||takut|
pelaut||laut|
pecinta||cinta|
peserta||serta|
pemegang||pegang|
penunggang||tunggang|
penghalang||halang|
pembersih||bersih|
penyerang||serang|
penghuni||huni|
pembuka||buka|
penjelajah||jelajah|
penasihat||nasihat|
pendingin||dingin|
penghubung||hubung|
penenang||tenang|
penghancur||hancur|
pemalu||malu|
pengembara||kembara|
pemukul||pukul|
pembaca||baca|
pencipta||cipta|
pembela||bela|
pesulap||sulap|
pemarah||marah|
pembangkit||bangkit|
pengungsi||ungsi|
pemakan||makan|
penculik||culik|
pengantar||antar|
petinju||tinju|
penerima||terima|
pengganggu||ganggu|
pendiri||diri|
pengenal||kenal|
pengurus||urus|
pendatang||datang|
pemicu||picu|
penuntut||tuntut|
pemanah||panah|
pengguna||guna|
pemeran||peran|
pelari||lari|
pengacau||kacau|
peneliti||teliti|
pendiam||diam|
pemancar||pancar|
pengingat||ingat|
pemotong||potong|
penghianat||khianat|
pesisir|||
pendorong||dorong|
pecat|||
pemalas||malas|
pelukis||lukis|
pesiar||siar|
pengendara||kendara|
penyidik||sidik|
pemerkosa||perkosa|
pemilih||pilih|
penanda||tanda|
pendengar||dengar|
penyelundup||selundup|
pencuci||cuci|
penyelidik||selidik|
pesaing||saing|
pemindai||pindai|
penyelam||selam|
penyembuh||sembuh|
penemu||temu|
penyewa||sewa|
pemanas||panas|
penghilang||hilang|
pemberi||beri|
pengiring||iring|
pembatas||batas|
penjudi||judi|
pengatur||atur|
petak|||
penerus||terus|
pegulat||gulat|
pemangsa||mangsa|
peniru||tiru|
penderita||derita|
penyendiri||sendiri|
pemeriksa||periksa|
pengalih||alih|
penyadap||sadap|
pembicara||bicara|
pejalan||jalan|
petinggi||tinggi|
pembagian||bagi|
pengamat||amat|
penangkap||tangkap|
penangkal||tangkal|
pentas|||
pendosa||dosa|
penata||tata|
pebisnis||bisnis|
pemasok||pasok|
penyiar||siar|
penghisap||hisap|
penahan||tahan|
penambang||tambang|
pembantai||bantai|
pemecah||pecah|
penjepit||jepit|
penyayang||sayang|
pembasmi||basmi|
peminum||minum|
pemutar||putar|
penjilat||jilat|
penerbit||terbit|
peternak||ternak|
pengagum||kagum|
pelamar||lamar|
penantang||tantang|
pelempar||lempar|
pengirim||kirim|
pemimpi||mimpi|
penghibur||hibur|
pengadilan||adil|
penerbangan||terbang|
pengalaman||alam|
pemakaman||makam|
pemikiran||pikir|
penghargaan||harga|
penjelasan||jelas|
penampilan||tampil|
pegunungan||gunung|
pengorbanan||korban|
pengobatan||obat|
pengakuan||aku|
peperangan||perang|
penyimpanan||simpan|
penglihatan||lihat|
pembayaran||bayar|
peluncuran||luncur|
pengumuman||umum|
penghinaan||hina|
penyesalan||sesal|
pengampunan||ampun|
pendarahan||darah|
penilaian||nilai|
pemberitahuan||beritahu|
pembalasan||balas|
pengecualian||kecuali|
pendaratan||darat|
penyamaran||samar|
pembuangan||buang|
pembebasan||bebas|
penyiksaan||siksa|
peningkatan||tingkat|
pembangunan||bangun|
penginapan||inap|
pendekatan||dekat|
penampungan||tampung|
penghormatan||hormat|
pencegahan||cegah|
pemahaman||paham|
pepohonan||pohon|
pengembangan||kembang|
pemulihan||pulih|
pembakaran||bakar|
pemerasan||peras|
pemberhentian||berhenti|
penampakan||tampak|
penolakan||tolak|
pengejaran||kejar|
pengujian||uji|
pengunduran||undur|
penurunan||turun|
pengambilan||ambil|
pendaftaran||daftar|
pedesaan||desa|
penghasilan||hasil|
pengusiran||usir|
penyergapan||sergap|
pengangguran|||
penyelesaian||selesai|
pemboman||bom|
peninggalan||tinggal|
penyebaran||sebar|
pemindahan||pindah|
pengeboman||bom|
pengeluaran||keluar|
pemasaran||pasar|
pengasingan||asing|
penyesuaian||sesuai|
penundaan||tunda|
pemeliharaan||pelihara|
penggeledahan||geledah|
penyimpangan||simpang|
penghakiman||hakim|
penguncian||kunci|
pelayaran||layar|
pengembalian||kembali|
pengarahan||arah|
pembedahan||bedah|
penyerahan||serah|
pemesanan||pesan|
penggalangan||galang|
pengisian||isi|
pemujaan||puja|
pembatalan||batal|
pengeboran||bor|
penyatuan||satu|
pencapaian||capai|
pembajakan||bajak|
pengumpulan||kumpul|
pemisahan||pisah|
pemotretan||potret|
pengabdian||abdi|
pelepasan||lepas|
pemungutan||pungut|
pemandian||mandi|
pengepungan||kepung|
pemalsuan||palsu|
pencernaan||cerna|
pedalaman||dalam|
penindasan||tindas|
penggelapan||gelap|
pendanaan||dana|
penyambutan||sambut|
pertanyaan||tanya|
perjalanan||jalan|
perusahaan||usaha|
permainan||main|
pernikahan||nikah|
perasaan||rasa|
perhatian||hati|
pertemuan||temu|
perubahan||ubah|
pertandingan||tanding|
permintaan||minta|
pertunjukan||tunjuk|
pelajaran||ajar|
peringatan||ingat|
perlindungan||lindung|
perjanjian||janji|
perbedaan||beda|
peraturan||atur|
peralatan||alat|
percobaan||coba|
pertahanan||tahan|
perbatasan||batas|
pernyataan||nyata|
perawat||rawat|
perawatan||rawat|
perangkat||angkat|
perbuatan||buat|
perdamaian||damai|
permukaan||muka|
perampokan||rampok|
pelaku||laku|
persahabatan||sahabat|
pelanggaran||langgar|
perayaan||raya|
perbuat||buat|
perguruan||guru|
perkelahian||kelahi|
perdagangan||dagang|
perpisahan||pisah|
perawan|||
pertolongan||tolong|
persediaan||sedia|
persiapan||siap|
pertukaran||tukar|
pertanda||tanda|
perlawanan||lawan|
perampok||rampok|
persetujuan||setuju|
perkembangan||kembang|
pertanian||tani|
perkataan||kata|
permata|||
permulaan||mula|
pelacak||lacak|
permohonan||mohon|
perbaikan||baik|
pergerakan||gerak|
perlengkapan||lengkap|
perjuangan||juang|
pelajar||ajar|
pertengahan||tengah|
perhitungan||hitung|
perkumpulan||kumpul|
persembunyian||sembunyi|
perlombaan||lomba|
persidangan||sidang|
perceraian||cerai|
persimpangan||simpang|
percuma||cuma|
perkiraan||kira|
perburuan||buru|
pertunangan||tunangan|
perkawinan||kawin|
persamaan||sama|
persaudaraan||saudara|
perkemahan||kemah|
pertengkaran||tengkar|
perairan||air|
peramal||ramal|
perumahan||rumah|
persegi||segi|
persembahan||sembah|
perwakilan||wakil|
permasalahan||masalah|
pertumbuhan||tumbuh|
pertumpahan||tumpah|
perlakuan||laku|
persaingan||saing|
persenjataan||senjata|
perbudakan||budak|
perencanaan||rencana|
perban|||
pertimbangan||timbang|
persoalan||soal|
pelacakan||lacak|
perkebunan||kebun|
pertemanan||teman|
perapian||api|
persatuan||satu|
persyaratan||syarat|
perdebatan||debat|
persatu||satu|
pertambangan||tambang|
perusak||rusak|
perantara||antara|
perselingkuhan||selingkuh|
persekutuan||sekutu|
pergantian||ganti|
permusuhan||musuh|
perhentian||henti|
perjelas||jelas|
pernapasan||napas|
percepat||cepat|
perjudian||judi|
pergeseran||geser|
perenang||renang|
perbesar||besar|
percintaan||cinta|
peretas||retas|
perjamuan||jamu|
perkenalan||kenal|
pelawak||lawak|
perbandingan||banding|
perbincangan||bincang|
peregangan||regang|
perekam||rekam|
lawak|||
pekerjaan||pekerja|
makanan||makan|
bantuan||bantu|
sendirian||sendiri|
pilihan||pilih|
pembunuhan||pembunuh|
hubungan||hubung|
pikiran||pikir|
serangan||serang|
pakaian||pakai|
ruangan||ruang|
catatan||catat|
tujuan||tuju|
panggilan||panggil|
minuman||minum|
harapan||harap|
urusan||urus|
latihan||latih|
tembakan||tembak|
jawaban||jawab|
aturan||atur|
tindakan||tindak|
kotoran||kotor|
pasangan||pasang|
kejutan||kejut|
lapangan||lapang|
duluan||dulu|
jalanan||jalan|
tekanan||tekan|
tahanan||tahan|
ledakan||ledak|
hukuman||hukum|
ancaman||ancam|
ujian||uji|
ribuan||ribu|
bangunan||bangun|
kenangan||kenang|
gerakan||gerak|
tambahan||tambah|
pukulan||pukul|
kasihan||kasih|
lingkungan||lingkung|
liburan||libur|
