# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in French. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows French where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|tu, toi, vous (une ou plusieurs personnes)|f2s2p
personnel|personnel, effectifs|o
era|ère, époque|o
tan|bronzage; brun clair, fauve|o;o
factor|facteur, élément|o
nun|religieuse, nonne|o
cunt|(très grossier) chatte, con; connard, ordure|o;o
inherit|hériter de; hériter, tenir de ses parents|v;v
noodle|nouille|o
apologise|apologise, orthographe britannique de apologize|o
exception|exception|o
sponsor|sponsor, mécène; sponsoriser, financer|o;v
keen|enthousiaste, passionné; aiguisé, vif|o;o
businessman|homme d'affaires|o
fluid|liquide, fluide; fluide, coulant|o;o
haul|traîner, tirer avec effort; butin, prise|v;o
eastern|de l'est, oriental|o
ay|hélas, ah (chagrin ou surprise)|g
advertise|faire de la publicité pour|v
december|décembre|o
clerk|employé de bureau, commis|o
anonymous|anonyme|o
bold|audacieux, hardi; net, bien marqué|o;o
wrestle|lutter, faire de la lutte; se débattre avec, se colleter à|v;v
stack|pile, tas; empiler, entasser|o;v
distress|détresse, angoisse; détresse (en mer)|o;o
grill|griller, faire cuire au gril; cuisiner, interroger serré|v;v
corrupt|corrompu, malhonnête; corrompre, soudoyer|o;v
sixth|6e|o
reporting|reportage, couverture; signalement, compte rendu officiel|o;o
dinosaur|dinosaure|o
adjust|ajuster, régler; s'adapter, s'habituer|v;v
author|auteur, écrivain|o
franc|franc|o
shade|ombre; nuance, teinte; abat-jour|o;o;o
ceiling|plafond; plafond, limite|o;o
civilization|civilisation|o
scum|racaille, ordures; écume, crasse|o;o
x-ray|radio, radiographie|o
geez|(exclamation d'agacement, version atténuée de "Jesus")|g
investigator|enquêteur|o
participate|participer, prendre part|v
villa|villa|o
dash|foncer, se précipiter; tiret|v;o
wizard|magicien, sorcier|o
faithful|fidèle, loyal; fidèle, conforme à l'original|o;o
discharge|libérer, laisser sortir; dégager, émettre|v;v
uh-uh|(son qui veut dire non)|g
filling|garniture, farce; plombage|o;o
onion|oignon|o
primary|primordial, principal; primaire, du premier degré|o;o
t-shirt|tee-shirt|o
finance|finance, gestion de l'argent; financer|o;v
shitty|(vulgaire) merdique, dégueulasse|o
resume|reprendre, recommencer|v
surf|surfer (sur les vagues); surfer, naviguer sur Internet|v;v
affection|affection, tendresse|o
therapist|thérapeute|o
evolve|évoluer, se développer|v
corporal|caporal, brigadier|o
elect|élire|v
tub|bac, cuve; baignoire|o;o
exclaim|s'exclamer, s'écrier|v
hopeless|désespéré, sans espoir; nul, incapable|o;o
swamp|marais, marécage; inonder, submerger|o;v
tide|marée|o
luckily|heureusement, par chance|o
grocery|épicerie; (groceries) courses, provisions|o;o
hesitate|hésiter|v
heir|héritier|o
circuit|circuit (électrique); circuit, tournée|o;o
harbor|port, rade; abriter, héberger|o;v
breach|violation, manquement; brèche, trouée|o;o
gesture|geste; geste, marque|o;o
pledge|promesse, engagement; promettre, s'engager à|o;v
moan|gémir; se plaindre, râler|v;v
gathering|réunion, rassemblement|o
gag|bâillonner; blague, gag|v;o
ahem|hum (pour attirer l'attention)|g
appetite|appétit; appétit, soif de|o;o
submit|céder, se soumettre; soumettre, remettre|v;v
pickle|cornichon, légume au vinaigre; pétrin, mauvaise passe|o;o
tuck|rentrer, glisser|v
aircraft|aéronef, avion|o
representative|représentant; représentatif, typique|o;o
bracelet|bracelet|o
gal|fille, nana (familier)|o
hon|chéri, mon coeur (comme appellation)|o
corporation|grande entreprise, société|o
aggressive|agressif, querelleur; énergique, offensif|o;o
rev|faire vrombir, emballer (un moteur)|v
significant|important, notable; significatif, lourd de sens|o;o
pony|poney|o
devote|consacrer, vouer|v
dunno|(je) sais pas (familier)|o
peasant|paysan|o
dull|ennuyeux, monotone; terne, morne; émoussé, peu tranchant|o;o;o
perspective|point de vue, optique; recul, sens des proportions|o;o
satan|(Satan) Satan|o
bra|soutien-gorge|o
cease|cesser|v
spoon|cuillère|o
formula|formule|o
strict|strict, sévère; strict, rigoureux|o;o
foreigner|étranger|o
emerge|émerger, apparaître; se faire jour, apparaître|v;v
mature|mûr, adulte; mûr, réfléchi|o;o
earthquake|tremblement de terre, séisme|o
prep|préparation; préparer (familier)|o;v
picnic|pique-nique|o
invade|envahir|v
soak|tremper, imbiber; tremper, mariner|v;v
tolerate|tolérer, supporter; tolérer, permettre|v;v
bare|nu, découvert; strict, tout juste suffisant|o;o
mere|simple, rien de plus qu'un|o
parole|liberté conditionnelle|o
rainbow|arc-en-ciel|o
destination|destination|o
storage|stockage, entreposage|o
rusty|rouillé; rouillé, qui manque de pratique|o;o
breed|élever (des animaux); race, espèce|v;o
luxury|luxe, grand confort; luxe, chose superflue|o;o
stiff|raide, rigide; guindé, compassé|o;o
repay|rembourser|v
sustain|soutenir, maintenir; subir, essuyer|v;v
auction|vente aux enchères|o
knot|noeud; noeud (vitesse en mer)|o;o
forge|contrefaire, falsifier; forger|v;v
condemn|condamner, dénoncer; condamner (à une peine)|v;v
ms|Mme (titre qui ne dit pas si la femme est mariée)|o
corporate|d'entreprise, de société|o
addition|addition, ajout; ajout, élément ajouté|o;o
warden|directeur (de prison), gardien|o
chess|échecs|o
cafe|café, snack|o
jar|bocal, pot|o
bonus|prime, bonus|o
lure|attirer, appâter; appât, attrait|v;o
cargo|cargaison, fret|o
painter|peintre|o
wha|(coquille pour what) quoi|o
hush|(pour demander le silence); silence|g;o
journal|journal (tenu au jour le jour); revue, périodique|o;o
rag|chiffon, vieux bout de tissu|o
justify|justifier|v
amateur|amateur|o
institute|institut|o
tender|tendre, affectueux; sensible, douloureux; tendre, moelleux|o;o;o
broadcast|diffuser, retransmettre; émission, retransmission|v;o
estimate|estimer, évaluer; estimation, devis|v;o
neat|net, bien rangé; astucieux, bien vu; sec, sans eau|o;o;o
pencil|crayon|o
pancake|crêpe|o
wee|tout petit (écossais); (familier) faire pipi|o;v
teenage|adolescent, d'adolescent|o
stalk|traquer, harceler; tige, queue|v;o
donkey|âne|o
worthless|sans valeur, qui ne vaut rien|o
kindness|gentillesse, bonté; geste gentil, attention|o;o
carriage|calèche, voiture à chevaux; wagon, voiture|o;o
plead|supplier, implorer; plaider|v;v
constable|agent de police (britannique)|o
employ|employer, embaucher; employer, utiliser|v;v
vein|veine|o
sunset|coucher du soleil|o
straighten|redresser, rendre droit; ranger, remettre en ordre|v;v
campus|campus|o
instrumental|déterminant, qui contribue à; instrumental, sans paroles|o;o
scotch|scotch, whisky écossais|o
website|site web|o
risky|risqué, hasardeux|o
fur|fourrure, poil|o
january|janvier|o
eleven|11|o
sector|secteur|o
ginger|gingembre; roux, roussâtre|o;o
violate|violer, enfreindre; violer, profaner|v;v
boarding|embarquement; internat, pension|o;o
residence|résidence, demeure; résidence, séjour|o;o
hobby|passe-temps, loisir|o
donate|faire don de, donner|v
kindly|gentiment, avec bonté; (s'il vous plaît) ayez la bonté de|o;o
pimp|proxénète, maquereau|o
nickname|surnom|o
resort|station, lieu de villégiature; (resort to) recourir à, en venir à|o;v
glue|colle|o
martial|martial, guerrier; (martial arts) arts martiaux|v;o
nigga|(injurieux, surtout entre locuteurs noirs) frère, mec|o
puppet|marionnette; pantin, homme de paille|o;o
upside|(upside down) à l'envers, la tête en bas; bon côté, avantage|o;o
imperial|impérial|o
paranoid|parano, méfiant à l'excès|o
democracy|démocratie|o
rehearse|répéter|v
congress|le Congrès (États-Unis); congrès, grande réunion|o;o
mole|grain de beauté; taupe (animal); taupe, infiltré|o;o;o
olive|olive; olivier|o;o
recovery|guérison, rétablissement; récupération, retour|o;o
pinch|pincer; piquer, chiper (familier)|v;v
championship|championnat|o
porter|porteur, bagagiste; concierge, portier|o;o
crop|récolte, culture; couper court, tailler|o;v
jaw|mâchoire|o
manipulate|manipuler, mener par le bout du nez; manipuler, manier|v;v
robber|voleur, braqueur|o
handling|gestion, façon de traiter|o
stunt|cascade, numéro; retarder, freiner la croissance de|o;v
accidentally|accidentellement, sans le vouloir|o
sympathy|compassion, sympathie; adhésion, soutien|o;o
importance|importance|o
lodge|loge, pavillon; loger, prendre pension; déposer (une plainte)|o;v;v
bachelor|célibataire (homme)|o
ex-wife|ex-femme|o
peak|sommet, point culminant; cime, sommet|o;o
trophy|trophée, coupe|o
psychiatrist|psychiatre|o
pacific|du Pacifique; pacifique, paisible|o;o
glorious|glorieux, splendide|o
champ|champion (familier)|o
subway|métro (américain); passage souterrain (britannique)|o;o
acknowledge|reconnaître, admettre; accuser réception de|v;v
hatred|haine|o
platform|estrade, plateforme; quai; programme (d'un parti)|o;o;o
waitress|serveuse|o
panel|panneau; comité, jury|o;o
particle|particule|o
ministry|ministère; ministère, sacerdoce|o;o
inspiration|inspiration, idée soudaine; source d'inspiration|o;o
splash|éclabousser, faire gicler; plouf, éclaboussement|v;o
dentist|dentiste|o
so-called|soi-disant, prétendu|o
anyways|de toute façon, enfin bref (familier)|o
ew|beurk (dégoût)|g
daylight|lumière du jour|o
genuine|authentique, véritable; sincère, franc|o;o
notify|notifier, avertir officiellement|v
origin|origine|o
torch|lampe de poche (britannique); torche, flambeau|o;o
portrait|portrait|o
demonstrate|démontrer, montrer clairement; manifester|v;v
mutter|marmonner, grommeler|v
somewhat|quelque peu, un peu|v
mumble|marmonner, bredouiller|v
stir|remuer, tourner; bouger légèrement, remuer; susciter, éveiller|v;v;v
messenger|messager, coursier|o
breeze|brise; jeu d'enfant, formalité (familier)|o;o
mechanic|mécanicien|o
wealthy|riche, fortuné|o
password|mot de passe|o
programme|programme, orthographe britannique de program|o
brandy|cognac, eau-de-vie|o
dime|pièce de dix cents (américain)|o
electrical|électrique|v
philosophy|philosophie; philosophie, façon de voir|o;o
invasion|invasion|o
bluff|bluffer; falaise abrupte|v;o
institution|institution, établissement; institution, tradition|o;o
flavor|goût, saveur; parfumer, aromatiser|o;v
mansion|manoir, hôtel particulier|o
appoint|nommer, désigner; fixer (une date)|v;v
lunatic|fou, dément; insensé, complètement fou|o;o
blossom|fleurs (d'un arbre fruitier); fleurir, s'épanouir|o;v
cellar|cave|o
herd|troupeau|o
peel|éplucher, peler; peau, pelure|v;o
helpless|impuissant, désemparé|o
arab|arabe|o
formal|protocolaire, cérémonieux; officiel, en bonne et due forme|o;o
strictly|strictement, à proprement parler; strictement, sévèrement|o;o
dimension|dimension, mesure; dimension, aspect|o;o
hallway|entrée, couloir|o
technical|technique|v
devastate|dévaster, ravager; anéantir, bouleverser|v;v
rival|rival, concurrent|o
oblige|obliger, contraindre; rendre service à, obliger|v;v
scrub|récurer, frotter|v
depart|partir, s'en aller|v
brutal|brutal, cruel; brutal, sans ménagement|o;o
behaviour|behaviour, orthographe britannique de behavior|o
vain|vaniteux, imbu de soi; (in vain) en vain|o;o
bicycle|vélo, bicyclette|o
deer|cerf, biche|o
absence|absence; manque, absence|o;o
convention|congrès, convention; convention, usage|o;o
strap|sangle, lanière|o
tournament|tournoi|o
laptop|ordinateur portable|o
install|installer, mettre en place|v
shotgun|fusil de chasse|o
assholes|(vulgaire) connards, salauds|o
bass|basse (son grave); bar, perche|o;o
gypsy|gitan, Rom|o
hiya|salut (familier)|o
cd|CD, disque compact|o
samurai|samouraï|o
wandering|errant, vagabond|o
consciousness|conscience, connaissance; conscience, for intérieur|o;o
verdict|verdict; jugement, avis|o;o
buyer|acheteur|o
rally|rassemblement, meeting; se rassembler, se regrouper; se remettre, reprendre|o;v;v
evacuate|évacuer|v
stammer|bégayer|v
decorate|décorer, embellir; refaire, repeindre|v;v
volume|volume, niveau sonore; volume, contenance; tome, volume|o;o;o
nazi|nazi; nazi, du parti nazi|o;o
conviction|condamnation; conviction, certitude|o;o
dong|(son grave d'une grosse cloche)|g
olympic|olympique|o
handcuff|menotte; menotter, passer les menottes à|o;v
shelf|étagère, rayon|o
jolly|joyeux, gai; rudement, drôlement (britannique)|o;o
outer|extérieur, du dehors; extérieur, plus éloigné du centre|o;o
scoundrel|canaille, crapule|o
landscape|paysage; paysage (tableau)|o;o
surrounding|environnant, alentour; (surroundings) environs, cadre|o;o
pine|pin; languir, se morfondre|o;v
fortunately|heureusement, par chance|o
gotcha|je t'ai eu, compris (familier)|o
specialist|spécialiste|o
scrape|racler, gratter; réussir de justesse|v;v
income|revenu, revenus|o
jingle|(tintement de clochettes ou de pièces)|g
snatch|arracher, s'emparer de|v
eternity|éternité; éternité, attente interminable|o;o
harvest|récolte, moisson; récolte, ce qui est engrangé|o;o
handy|pratique, commode; à portée de main; adroit, bricoleur|o;o;o
tricky|délicat, épineux; rusé, retors|o;o
bald|chauve|o
hike|randonnée; forte hausse, envolée|o;o
misunderstand|mal comprendre, se méprendre sur|v
imply|sous-entendre, laisser entendre|v
obtain|obtenir|v
compound|composé, mélange; enceinte, complexe|o;o
allah|(Allah) Allah, Dieu dans l'islam|o
concrete|béton; concret, précis|o;o
thread|fil; fil (d'un raisonnement)|o;o
cripple|estropier, handicaper; paralyser, mettre à mal|v;v
essential|indispensable, essentiel; l'essentiel, le point central|o;o
bearing|allure, maintien; (bearings) repères, sens de l'orientation|o;o
dialogue|dialogue (dans un livre, un film); dialogue, pourparlers|o;o
lobby|hall, vestibule; lobby, groupe de pression|o;o
fork|fourchette; embranchement, fourche|o;o
loudly|fort, bruyamment|o
old-fashioned|démodé, vieux jeu|o
marvelous|merveilleux, prodigieux|o
good-looking|beau, séduisant|o
sensor|capteur, détecteur|o
peg|cheville, patère|o
rider|cavalier, cycliste|o
invention|invention; invention, affabulation|o;o
wax|cire|o
vest|maillot de corps (britannique); gilet (américain)|o;o
im|(coquille pour I'm) je suis|f1s
cuff|poignet, manchette; (cuffs) menottes|o;o
endless|interminable, sans fin|o
seduce|séduire; détourner, entraîner sur une mauvaise pente|v;v
corp|Corp., abréviation de Corporation|o
ingredient|ingrédient|o
congratulate|féliciter|v
ego|ego, amour-propre|o
anyhow|de toute façon, en tout cas; n'importe comment, à la va-vite|o;o
naive|naïf, crédule|o
prosecution|poursuites, action en justice; l'accusation, le ministère public|o;o
consume|consommer, manger; consommer, épuiser|v;v
exaggerate|exagérer|v
ambush|embuscade, guet-apens; tendre une embuscade à|o;v
tickle|chatouiller|v
argh|(cri de douleur ou d'exaspération)|g
butler|majordome, maître d'hôtel|o
scatter|éparpiller, disperser; se disperser, s'égailler|v;v
aha|(cri de compréhension soudaine)|g
quarrel|dispute, querelle; se disputer, se quereller|o;v
shutter|volet; obturateur|o;o
autograph|autographe|o
transmission|émission, transmission; boîte de vitesses, transmission|o;o
convenient|pratique, commode|o
straw|paille; paille (pour boire)|o;o
loop|boucle|o
panty|(panties) culotte, slip de femme|o
entitled|qui a droit à; intitulé|o;o
maker|fabricant, créateur|o
originally|à l'origine, au départ|o
pronounce|prononcer (un mot); prononcer, déclarer officiellement|v;v
vet|vétérinaire; ancien combattant (américain)|o;o
bodyguard|garde du corps|o
lawn|pelouse, gazon|o
peach|pêche|o
furious|furieux, en colère; furieux, déchaîné|o;o
physics|physique (science)|o
scenario|scénario, hypothèse; scénario (d'un film)|o;o
edit|réviser, corriger, monter|v
umbrella|parapluie|o
revolutionary|révolutionnaire, radicalement nouveau; révolutionnaire (personne)|o;o
convert|convertir, transformer; convertir (à une croyance)|v;v
acquire|acquérir, obtenir|v
dose|dose|o
accurate|exact, précis|o
violet|violette (fleur); violet, mauve|o;o
mushroom|champignon; proliférer, pousser comme des champignons|o;v
observation|observation, surveillance; remarque, observation|o;o
underestimate|sous-estimer|v
dispatch|expédier, envoyer; expédier, régler rapidement|v;v
generally|généralement, d'habitude; généralement, par la plupart; en gros, dans l'ensemble|o;o;o
cloth|tissu, étoffe; chiffon, torchon|o;o
secretly|secrètement, en cachette|o
hockey|hockey|o
maximum|maximum|o
forty|40|o
whack|frapper fort, cogner; grand coup, bruit sec|v;o
pond|étang, mare|o
shrimp|crevette|o
craft|artisanat, savoir-faire; embarcation; ruse, habileté|o;o;o
astronaut|astronaute|o
lust|désir, luxure; soif de, avidité pour|o;o
drip|goutter, s'égoutter; bruit de gouttes|v;o
depression|dépression, abattement; crise, dépression économique; creux, dépression|o;o;o
substance|substance, matière; fond, essentiel|o;o
magician|prestidigitateur, magicien; magicien, enchanteur|o;o
den|tanière, antre; petit bureau, coin retiré|o;o
applaud|applaudir|v
frequency|fréquence, périodicité; fréquence (d'une onde)|o;o
honesty|honnêteté, franchise|o
merchant|négociant, marchand|o
corridor|couloir, corridor|o
drone|drone; bourdonnement, ronronnement|o;o
sleeve|manche|o
predator|prédateur; prédateur, personne qui exploite les autres|o;o
toll|péage; bilan, nombre de victimes; sonner le glas|o;o;v
disorder|désordre, pagaille; trouble, affection; troubles, émeutes|o;o;o
biscuit|biscuit, petit gâteau sec|o
retirement|retraite|o
sole|seul, unique; plante du pied, semelle; sole (poisson)|o;o;o
salute|saluer (militairement); salut|v;o
wig|perruque|o
shriek|(cri perçant)|g
settlement|accord, règlement; hameau, colonie; règlement (d'une dette)|o;o;o
barbecue|barbecue|o
household|foyer, ménage|o
tryin|en train d'essayer (orthographe familière de trying)|o
gap|espace, écart; lacune, trou|o;o
presentation|présentation, exposé; présentation, mise en forme|o;o
fatal|mortel, fatal; fatal, désastreux|o;o
rack|support, étagère; torturer, faire souffrir|o;v
roam|errer, parcourir|v
grain|grain, céréales; grain, petite particule; grain, veine du bois|o;o;o
tasty|savoureux, bon|o
mademoiselle|Mademoiselle (formule française pour une femme non mariée)|o
asian|asiatique|o
blink|cligner des yeux|v
presume|présumer, supposer; se permettre de, avoir l'audace de|v;v
pregnancy|grossesse|o
carrot|carotte|o
herb|herbe aromatique, plante médicinale|o
dizzy|pris de vertige, étourdi|o
oak|chêne|o
sequence|suite, ordre; séquence (d'un film)|o;o
minimum|minimum|o
hee|(petit rire aigu)|g
scam|arnaque, escroquerie|o
mutant|mutant|o
chopper|hélico (familier); couperet, hachoir|o;o
prescription|ordonnance|o
stash|planquer, cacher; réserve cachée, planque|v;o
th|(dans 4th, 5th) terminaison des nombres ordinaux|o
deceased|décédé, défunt; le défunt|o;o
sleepy|somnolent, qui a sommeil; endormi, tranquille|o;o
bugger|(vulgaire, britannique) emmerdeur, saleté de truc; bousiller, foutre en l'air|o;v
static|statique, immobile; parasites, friture|o;o
almighty|tout-puissant; monumental, terrible (familier)|o;o
climate|climat; climat, ambiance|o;o
approval|autorisation, accord; approbation, estime|o;o
trouser|(trousers) pantalon|o
snarl|(grognement hargneux)|g
capacity|capacité, contenance; capacité, aptitude; qualité, fonction|o;o;o
legally|légalement, en droit|o
regulation|règlement, réglementation; régulation, contrôle|o;o
amaze|stupéfier, émerveiller|v
rupee|roupie|o
domestic|domestique, du foyer; intérieur, national|o;o
ransom|rançon|o
triple|triple; triple, à trois éléments|o;o
spite|méchanceté, dépit; (in spite of) malgré|o;o
clearing|clairière|o
fortunate|chanceux, heureux|o
preparation|préparation, préparatifs; préparation, produit préparé|o;o
maniac|fou furieux, forcené|o
gin|gin|o
topic|sujet, thème|o
swap|échanger, troquer|v
intel|renseignements, infos (familier)|o
growth|croissance, développement; augmentation, hausse|o;o
casualty|blessé, victime; urgences (service hospitalier)|o;o
volcano|volcan|o
economic|économique, de l'économie; rentable, économique|v;o
theirs|le leur, à eux|o
firework|feu d'artifice, fusée|o
aspect|aspect, côté; aspect, apparence|o;o
sister-in-law|belle-soeur (soeur du conjoint); belle-soeur (femme du frère)|o;o
hilarious|hilarant, tordant|o
exploit|exploiter, profiter de; exploit, prouesse|v;o
salesman|vendeur, représentant|o
prank|farce, blague|o
laboratory|laboratoire|o
exclusive|fermé, très sélect; exclusif, en exclusivité|o;o
runway|piste (d'atterrissage)|o
confusion|confusion, désordre|o
expectation|attente, espérance|o
cord|corde, cordon; fil, cordon électrique|o;o
dame|Dame (titre honorifique britannique); nana, bonne femme (américain, daté)|o;o
bombing|bombardement, attentat à la bombe|o
dreadful|épouvantable, affreux|o
kilo|kilo|o
february|février|o
forehead|front|o
racist|raciste, qui discrimine selon la race; raciste (personne)|o;o
rebuild|reconstruire|v
brass|laiton, cuivre; cuivres (instruments)|o;o
egyptian|égyptien|o
buffalo|buffle, bison|o
exhibit|exposer, présenter; pièce exposée|v;o
manual|manuel, à la main; manuel, mode d'emploi|o;o
rarely|rarement|o
railway|chemin de fer (britannique)|o
chemistry|chimie|o
puke|(familier) dégueuler, vomir|v
delete|supprimer, effacer|v
lottery|loterie|o
publicity|publicité, retentissement médiatique|o
objective|objectif, but; objectif, impartial|o;o
tremendous|énorme, immense; formidable, super (familier)|o;o
cape|cape; cap|o;o
intimate|intime, très proche; intime, sexuel|o;o
eager|impatient, avide de|o
scholarship|bourse d'études; érudition, savoir|o;o
telegram|télégramme|o
allergic|allergique|o
logic|logique|o
gratitude|gratitude, reconnaissance|o
thug|voyou, brute|o
ultimately|finalement, en fin de compte; au fond, en dernière analyse|o;o
majority|majorité|o
calculate|calculer|v
bent|tordu, courbé; (bent on) résolu à, décidé à|o;o
metre|metre, orthographe britannique de meter|o
ink|encre|o
administration|administration, gestion; gouvernement, administration|o;o
reform|réformer; réforme|v;o
passionate|passionné|o
precise|précis, exact|o
jeans|jean|o
via|via, en passant par; par, au moyen de|o;o
inmate|détenu, pensionnaire|o
lease|bail|o
fuse|fusible; fusionner, souder|o;v
retard|(injurieux) débile, attardé; ralentir, retarder|o;v
bomber|bombardier; poseur de bombe|o;o
buddha|(the Buddha) le Bouddha|o
donor|donneur, donateur|o
dam|barrage|o
minus|moins; en dessous de zéro|o;o
athlete|athlète, sportif|o
aww|oh (attendrissement ou compassion)|g
nerd|intello, ringard|o
healing|guérison, cicatrisation|o
obligation|obligation, devoir|o
boundary|limite, frontière|o
versus|contre|o
anchor|ancre; présentateur (du journal)|o;o
dodge|esquiver, éviter; échapper à, se soustraire à|v;v
leaf|feuille; feuillet, page|o;o
melody|mélodie, air|o
reunion|retrouvailles, réunion|o
landlord|propriétaire, bailleur; patron (d'un pub)|o;o
ache|douleur sourde; faire mal, être douloureux|o;v
calendar|calendrier|o
labour|labour, orthographe britannique de labor|o
triumph|triomphe, grande victoire; triomphe, exultation|o;o
descend|descendre; (descend from) descendre de, être issu de|v;v
anxiety|angoisse, inquiétude|o
beggar|mendiant|o
creek|ruisseau (américain); crique, anse|o;o
inviting|engageant, attirant|o
wooden|en bois; guindé, emprunté|o;o
innocence|innocence, non-culpabilité; innocence, candeur|o;o
railroad|chemin de fer (américain)|o
avenge|venger|v
ape|grand singe; singer, imiter|o;v
unh|(han, son d'effort ou de douleur)|g
replacement|remplaçant, pièce de rechange|o
antique|antiquité, objet ancien; ancien, d'époque|o;o
lobster|homard|o
accomplice|complice|o
torment|tourment, supplice; tourmenter, torturer|o;v
sickness|maladie; nausées, vomissements|o;o
comb|peigne|o
pupil|élève; pupille (de l'oeil)|o;o
messy|en désordre, sale; confus, désagréable|o;o
continent|continent|o
prophet|prophète|o
earring|boucle d'oreille|o
robe|robe, toge|o
seventh|7e|o
cue|réplique, signal; queue de billard|o;o
undo|défaire, détacher; annuler, défaire|v;v
limb|membre; grosse branche|o;o
diner|petit restaurant, snack (américain); convive, dîneur|o;o
ballet|ballet|o
alcoholic|alcoolique; alcoolisé|o;o
download|télécharger|v
tumor|tumeur|o
barrier|barrière, barrage; obstacle, frein|o;o
harmless|inoffensif, sans danger|o
curiosity|curiosité, envie de savoir; curiosité, objet rare|o;o
vicious|violent, féroce; méchant, malveillant|o;o
tremble|trembler, frissonner|v
translation|traduction (action); traduction, texte traduit|o;o
grind|moudre, broyer; grincer, frotter rudement|v;v
mortgage|prêt immobilier, hypothèque|o
greedy|avide, gourmand|o
zip|fermeture éclair; filer, foncer|o;v
fountain|fontaine, jet d'eau|o
fog|brouillard|o
flu|grippe|o
sabotage|sabotage|o
architect|architecte|o
interrogation|interrogatoire|o
autumn|automne|o
kneel|s'agenouiller|v
bartender|barman|o
arrogant|arrogant, hautain|o
frost|gel, givre|o
compel|contraindre, obliger|v
sperm|sperme, spermatozoïde|o
scrap|bout, reste; mettre au rebut, abandonner; bagarre (familier)|o;v;o
fare|tarif, prix du billet|o
demonstration|manifestation; démonstration|o;o
bun|petit pain rond; chignon|o;o
op|opération (familier)|o
shuttle|navette|o
whatsoever|le moindre, quel qu'il soit|o
grenade|grenade (arme)|o
homeland|patrie, pays natal|o
intrigue|intrigue, machination; intriguer, piquer la curiosité de|o;v
teen|ado; adolescent, de 13 à 19 ans|o;o
gp|généraliste, médecin de famille (britannique)|o
memorial|monument commémoratif, mémorial|o
yankee|Yankee, Américain (surtout du Nord)|o
haircut|coupe de cheveux; coiffure, coupe|o;o
provoke|provoquer, exaspérer; provoquer, susciter|v;v
mode|mode, façon de faire; mode (d'un appareil)|o;o
approximately|environ, à peu près|o
ivy|lierre|o
fabric|tissu, étoffe; structure, tissu|o;o
accountant|comptable|o
reign|règne; régner|o;v
sip|siroter, boire à petites gorgées|v
sniper|tireur embusqué, sniper|o
ha-ha|(éclat de rire)|g
unlikely|peu probable, improbable; invraisemblable, difficile à croire|o;o
database|base de données|o
choir|chorale, choeur|o
strawberry|fraise|o
scarf|écharpe, foulard|o
generate|générer, créer; produire (de l'énergie)|v;v
heartbeat|battement de coeur|o
lighting|éclairage; éclairage, mise en lumière|o;o
mutual|mutuel, réciproque; commun, partagé|o;o
rogue|filou, canaille; solitaire et dangereux, incontrôlable|o;o
accusation|accusation|o
beware|se méfier de, prendre garde à|v
cottage|petite maison de campagne, cottage|o
spear|lance, javelot|o
carve|sculpter, tailler; découper (la viande)|v;v
assemble|rassembler, réunir; assembler, monter|v;v
snort|(reniflement bruyant)|g
offensive|choquant, blessant; offensive|o;o
balcony|balcon; balcon (d'un théâtre)|o;o
discount|remise, réduction; écarter, ne pas tenir compte de|o;v
dice|dé; couper en dés|o;v
analyze|analyser|v
armor|armure, blindage|o
expedition|expédition|o
poverty|pauvreté, misère|o
wit|esprit, humour; bon sens, intelligence|o;o
leadership|direction, commandement; les dirigeants, la direction|o;o
turk|Turc|o
abortion|avortement, IVG|o
scissor|(scissors) ciseaux|o
canal|canal|o
violation|violation, infraction|o
legacy|legs, héritage; héritage, ce qui est légué|o;o
axe|hache|o
stumble|trébucher; buter sur les mots, bafouiller|v;v
clap|applaudir, taper des mains|v
bam|(bruit d'un coup violent)|g
collector|collectionneur|o
conclude|conclure, terminer; conclure, en déduire|v;v
pawn|mettre en gage; pion|v;o
banker|banquier|o
distinguish|distinguer, faire la différence entre; distinguer, discerner|v;v
correctly|correctement, sans erreur|o
diaper|couche (américain)|o
buzzer|sonnerie, buzzer|o
intern|stagiaire, interne; interner|o;v
errand|course, commission|o
countess|comtesse (épouse d'un comte); comtesse|o;o
whew|ouf (soulagement)|g
decline|décliner, refuser poliment; décliner, baisser|v;v
immortal|immortel; immortel, inoubliable|o;o
font|police de caractères|o
venture|entreprise risquée; se risquer à, oser|o;v
abduct|enlever, kidnapper|v
headline|gros titre, manchette|o
rash|irréfléchi, imprudent; éruption, rougeurs|o;o
rhyme|rime; comptine, petit poème|o;o
pod|cosse, gousse; module, nacelle|o;o
plea|supplique, appel; plaidoyer, réponse de l'accusé|o;o
lipstick|rouge à lèvres|o
ta|merci (britannique familier)|o
auto|voiture, auto (américain)|o
logical|logique|o
vacuum|vide; passer l'aspirateur sur|o;v
carbon|carbone|o
independence|indépendance|o
stepping|le fait de poser le pied|o
fanny|fesses (américain); (vulgaire, britannique) chatte|o;o
upbeat|optimiste, enjoué|o
