# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in Spanish. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows Spanish where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|tú, usted, ustedes (una o varias personas)|f2s2p
prediction|pronóstico, predicción|o
distinct|claramente diferente; claro|o;o
emphasis|importancia especial|o
wellbeing|salud y felicidad, bienestar|o
curb|frenar, limitar|v
neo|nuevo, forma renovada de|o
prevention|acción de evitar que algo ocurra|o
underway|en curso, ya iniciado|o
controversial|que causa desacuerdo público, polémico|o
memoir|relato escrito de la propia vida, memorias|o
backlash|fuerte reacción negativa|o
density|qué tan compacto es algo; masa por unidad de volumen|o;o
veto|derecho oficial a rechazar una decisión|o
mounting|creciente, en aumento|o
cyclical|que ocurre en ciclos repetidos|o
favorable|aprobatorio; ventajoso|o;o
phi|la letra griega φ|o
provider|persona o empresa que presta un servicio, proveedor|o
accession|adhesión a una organización o un tratado; llegada al trono o a un cargo|o;o
habitat|hábitat natural de un animal o una planta|o
magnitude|tamaño, importancia; intensidad de un terremoto|o;o
duo|pareja de artistas, dúo|o
coronavirus|familia de virus que incluye el causante del COVID-19|o
proclaim|anunciar oficialmente, proclamar|v
laureate|ganador de un premio importante, galardonado|o
aspiration|esperanza, ambición|o
interpretation|explicación del significado; forma de interpretar una obra|o;o
portrayal|representación, retrato|o
screenwriter|persona que escribe guiones de cine, guionista|o
variation|cambio, diferencia; versión distinta|o;o
multilateralism|cooperación entre varios países|o
subsidize|pagar parte del costo de, subsidiar|v
bureaucracy|sistema de gobierno a cargo de funcionarios; exceso de trámites oficiales|o;o
conservation|protección de la naturaleza o los recursos|o
autism|trastorno del desarrollo que afecta la comunicación y la interacción social|o
devise|idear, inventar|v
opt|optar, elegir|v
commentary|narración hablada de un acontecimiento; conjunto de notas explicativas u opiniones|o;o
traditionally|por tradición, habitualmente|o
manufacturer|empresa que fabrica productos, fabricante|o
variance|diferencia; varianza, medida estadística de dispersión|o;o
interval|intervalo de tiempo o espacio; intermedio de un espectáculo|o;o
modernization|modernización|o
considerably|mucho, considerablemente|o
molecular|relativo a las moléculas|o
gradual|que ocurre despacio, paso a paso|o
mortality|tasa de muertes; condición de mortal|o;o
reluctant|reacio, vacilante|o
drought|sequía, largo período sin lluvia|o
albeit|aunque|o
insecurity|falta de confianza en uno mismo; falta de seguridad|o;o
unify|unificar, unir en uno|v
exploration|viaje para descubrir; examen, estudio|o;o
dioxide|dióxido, compuesto con dos átomos de oxígeno (como en el dióxido de carbono)|o
binding|vinculante, de cumplimiento legal obligatorio|o
subsidiary|filial, empresa que pertenece a otra|o
threshold|umbral, nivel a partir del cual empieza algo; entrada de una puerta|o;o
debtor|persona o país que debe dinero, deudor|o
ensemble|conjunto de intérpretes|o
facto|(en de facto) de hecho, en la práctica|o
beneficial|útil, ventajoso|o
certify|confirmar oficialmente, certificar|v
coefficient|número que multiplica a una variable (matemáticas)|o
maximize|hacer lo más grande posible, maximizar|v
unilateral|hecho por una sola parte|o
manipulation|control o influencia deshonestos; manejo hábil|o;o
automation|uso de máquinas para hacer el trabajo|o
judicial|relativo a los tribunales y los jueces|o
logo|diseño usado como símbolo de una empresa|o
retail|venta de productos al público, venta minorista|o
consisted|consistió, pasado de consist|o
consul|funcionario que representa a un país en una ciudad extranjera|o
extremism|ideas políticas o religiosas extremas|o
genocide|exterminio deliberado de todo un pueblo|o
healthcare|servicios de atención médica|o
incumbent|titular actual de un cargo|o
biodiversity|variedad de la vida vegetal y animal|o
crochet|tejer a ganchillo, tejer con una aguja de gancho|v
amid|en medio de, durante|o
resilient|capaz de recuperarse rápidamente|o
pronunciation|forma de pronunciar una palabra|o
protagonist|el personaje principal|o
digit|dígito, número del 0 al 9; dedo de la mano o del pie|o;o
reconstruction|reconstrucción|o
catastrophic|desastroso, catastrófico|o
cooperative|servicial, dispuesto a colaborar|o
unrest|disturbios, protestas|o
unwilling|no dispuesto, reacio|o
destructive|que causa daño, destructivo|o
infinity|espacio, tiempo o cantidad sin fin, infinito|o
avert|evitar; apartar (la mirada)|v;v
browser|navegador, programa para ver sitios web|o
inefficient|derrochador, ineficiente|o
inscription|palabras grabadas o escritas en algo|o
inverse|opuesto, invertido|o
allocation|parte asignada; acción de distribuir|o;o
imprint|marca impresa en una superficie; sello editorial|o;o
differ|ser diferente; discrepar|v;v
famously|como es bien sabido|o
revise|modificar, corregir; repasar para un examen|v;v
acute|grave, serio; agudo|o;o
coastal|de la costa, costero|o
navigate|orientarse, encontrar el camino; lidiar con|v;v
delegation|grupo que representa a otros; delegación de tareas|o;o
entrench|afianzar, establecer con firmeza|v
filmmaker|cineasta, persona que hace películas|o
plummet|caer en picada|v
disastrous|muy malo, catastrófico|o
hostility|hostilidad, oposición|o
precedent|hecho anterior que sirve de ejemplo, precedente|o
diagram|dibujo sencillo que explica algo|o
franchise|licencia para vender los productos de una empresa; saga de películas; derecho al voto|o;o;o
reconcile|reconciliar, restablecer relaciones amistosas; hacer compatibles|v;v
specify|indicar con exactitud, especificar|v
architectural|relativo a la arquitectura|o
racial|relativo a la raza|o
constellation|grupo de estrellas, constelación|o
deem|considerar, juzgar|v
pipeline|tubería que transporta petróleo o gas; serie de elementos previstos|o;o
novelist|autor de novelas, novelista|o
nutrition|alimentación y nutrición|o
synthetic|artificial, sintético|o
reconciliation|restablecimiento de relaciones amistosas|o
unconventional|poco común, no tradicional|o
biologist|científico que estudia los seres vivos|o
constructive|útil, positivo|o
explicitly|claramente, de forma directa|o
inability|falta de capacidad, incapacidad|o
voltage|fuerza eléctrica medida en voltios|o
rein|(en rein in) contener, controlar; correa para dirigir un caballo, rienda|v;o
continuous|sin interrupción|o
deter|disuadir, impedir|v
militant|persona que emplea acciones agresivas por una causa|o
predictable|previsible|o
textile|tela, tejido|o
dismantle|desmontar, desarmar|v
foremost|principal, el más importante|o
hedge|protección contra pérdidas financieras; seto|o;o
jeopardize|poner en peligro|v
superpower|país muy poderoso, superpotencia|o
convergence|acercamiento, convergencia|o
disparity|gran diferencia, desigualdad|o
optimism|esperanza, optimismo|o
rivalry|competencia entre rivales|o
usage|uso, forma en que se usa algo|o
workplace|lugar de trabajo|o
sufficiently|lo suficiente|o
unveil|revelar, presentar en público por primera vez|v
cortex|la capa externa del cerebro, corteza|o
namely|es decir, en concreto|o
pixel|punto diminuto de una imagen digital|o
racism|prejuicio contra personas de otras razas|o
comparable|similar, que se puede comparar|o
dividend|parte de las ganancias que se paga a los accionistas, dividendo|o
judiciary|los tribunales y jueces de un país, poder judicial|o
accordingly|en consecuencia; de manera apropiada|o;o
premium|cantidad extra que se paga; pago periódico de un seguro, prima|o;o
prompt|provocar, impulsar|v
ballot|votación; papeleta de voto|o;o
embody|encarnar, expresar de forma concreta|v
inflationary|que causa inflación|o
livelihood|medio de vida, sustento|o
ineffective|que no produce el efecto deseado, ineficaz|o
orbital|relativo a una órbita|o
chimpanzee|chimpancé, simio africano|o
transit|transporte, tránsito|o
disagreement|desacuerdo, discusión|o
problematic|que causa problemas|o
reversal|cambio a lo contrario, inversión|o
accommodate|dar cabida a; adaptarse a|v;v
likelihood|probabilidad|o
mathematician|experto en matemáticas|o
mutually|por ambas partes por igual|o
volatile|propenso a cambiar de repente|o
desirable|deseado, atractivo|o
pianist|persona que toca el piano|o
pika|pequeño mamífero de montaña emparentado con el conejo|o
faction|grupo dentro de otro más grande, facción|o
vertical|vertical, erguido|o
abstract|que existe como idea, no concreto|o
adhere|cumplir (normas); adherirse, pegarse|v;v
microscope|instrumento para ver cosas muy pequeñas|o
trait|rasgo, cualidad|o
diameter|línea recta que pasa por el centro de un círculo|o
neural|relativo a los nervios o al cerebro|o
binary|formado por dos partes; basado en 0 y 1|o;o
dynamism|energía, empuje|o
numerator|el número encima de la línea en una fracción|o
optimal|el mejor, el más favorable, óptimo|o
trajectory|trayectoria de un objeto en movimiento; curso de un desarrollo|o;o
chromosome|estructura de la célula que contiene los genes|o
ultra|extremadamente|o
acceleration|aumento de la velocidad|o
feasible|posible, factible|o
provincial|relativo a una provincia; de mente estrecha|o;o
heighten|aumentar, intensificar|v
hypothesis|explicación propuesta que debe comprobarse|o
disadvantage|inconveniente, condición desfavorable|o
quota|cuota o límite fijo|o
steadily|gradualmente, de forma constante|o
whereby|mediante el cual|o
bisexual|que se siente atraído por hombres y mujeres|o
mutation|cambio en los genes|o
shortfall|déficit, faltante|o
acoustic|relativo al sonido; (de instrumentos) no eléctrico|o;o
embed|incrustar, fijar firmemente dentro|v
oversee|supervisar|v
refusal|negativa, rechazo|o
modernize|modernizar|v
broaden|ampliar, ensanchar|v
dire|muy grave, terrible|o
notation|sistema de símbolos escritos, notación|o
acceptance|acción de aceptar; aprobación|o;o
affiliate|organización asociada, filial|o
curtail|recortar, limitar|v
explicit|claro, directo; que muestra sexo o violencia abiertamente|o;o
replicate|copiar, reproducir|v
geographic|relativo a la geografía|o
nutrient|sustancia necesaria para crecer, nutriente|o
incite|incitar, provocar|v
sexuality|orientación o sentimientos sexuales|o
coherent|lógico, coherente|o
existential|relativo a la existencia; que amenaza la supervivencia|o;o
overthrow|derrocar, quitar del poder por la fuerza|v
rejection|negativa a aceptar, rechazo|o
accessible|fácil de alcanzar, usar o entender|o
autobiography|relato de la propia vida|o
extinction|desaparición de una especie, extinción|o
socially|en términos sociales; en compañía de otros|o;o
chronology|orden de los hechos en el tiempo|o
discontent|descontento, insatisfacción|o
geezer|tipo, sujeto (informal)|o
governmental|relativo al gobierno|o
membrane|capa delgada de tejido|o
redistribution|nuevo reparto, sobre todo de la riqueza|o
rethink|reconsiderar, replantear|v
trilogy|serie de tres obras|o
voluntary|hecho por elección; no remunerado|o;o
autonomous|autónomo, independiente|o
citizenship|condición de ciudadano, ciudadanía|o
enzyme|proteína que acelera las reacciones químicas|o
marginalize|marginar, tratar como poco importante|v
negotiator|persona que negocia|o
presenter|conductor de un programa de radio o televisión|o
scarce|escaso, raro|o
theorem|enunciado matemático demostrado mediante razonamiento|o
deregulation|eliminación de las normas gubernamentales de un sector|o
orientation|dirección, posición; actitudes o creencias básicas de una persona; sesión introductoria|o;o;o
plausible|creíble, razonable|o
supervision|vigilancia y dirección, supervisión|o
tolerance|aceptación de opiniones distintas; capacidad de soportar algo|o;o
cameo|breve aparición de un actor famoso|o
dialect|variante regional de una lengua|o
globalize|extender a todo el mundo|v
sigma|la letra griega σ; símbolo de una suma|o;o
maternal|relativo a la madre|o
viral|causado por un virus; que se difunde rápidamente en internet|o;o
accredit|reconocer oficialmente que cumple una norma|v
atheist|persona que no cree en Dios|o
dependency|dependencia de algo; territorio controlado por otro país|o;o
enroll|inscribirse como miembro o estudiante|v
maritime|relativo al mar o a la navegación|o
ratify|aprobar formalmente (un tratado)|v
contraction|contracción, encogimiento; forma abreviada de una palabra, como don't|o;o
dub|apodar; doblar los diálogos de una película a otro idioma|v;v
parable|relato moral breve, parábola|o
deployment|despliegue de tropas o recursos|o
partially|parcialmente, en parte|o
upward|hacia un nivel más alto|o
acquisition|compra de una empresa o un activo; aprendizaje (de una habilidad o un idioma)|o;o
civic|relativo a una ciudad o a los ciudadanos, cívico|o
commemorate|honrar la memoria de, conmemorar|v
pathway|camino, sendero; secuencia de pasos|o;o
distinction|diferencia clara; excelencia, honor|o;o
guitarist|persona que toca la guitarra|o
mindset|forma de pensar, mentalidad|o
anthology|colección de escritos o canciones, antología|o
arsenal|depósito de armas, arsenal|o
catalog|lista completa de artículos, catálogo|o
denounce|condenar públicamente, denunciar|v
meltdown|colapso repentino; fusión del núcleo de un reactor nuclear|o;o
shortcoming|defecto, debilidad|o
pinkie|el dedo meñique|o
receptor|estructura celular que responde a un estímulo|o
polynomial|polinomio, expresión de varios términos con variables y potencias (matemáticas)|o
pragmatic|práctico, realista, pragmático|o
restraint|autocontrol; limitación|o;o
solely|solo, únicamente|o
stabilization|estabilización|o
tradable|que se puede comerciar|o
urbanization|crecimiento de las ciudades, urbanización|o
extensively|ampliamente, a fondo|o
projection|estimación del futuro; imagen proyectada en una pantalla|o;o
tribunal|tribunal u organismo oficial que resuelve disputas|o
unfold|desarrollarse, suceder; desplegar, desdoblar|v;v
cohesion|unidad, cohesión|o
diversify|variar, extenderse a nuevas áreas, diversificar|v
infectious|que se transmite por infección, contagioso|o
restoration|regreso al estado original, restauración|o
ringer|(en dead ringer) persona idéntica a otra; sustituto en una competencia|o;o
romanize|escribir en alfabeto latino|v
surpass|superar, hacerlo mejor que|v
arguably|como se puede sostener razonablemente|o
oversight|supervisión; descuido|o;o
resentment|resentimiento por un trato injusto|o
sectarian|relativo al conflicto entre grupos religiosos, sectario|o
contagion|propagación de una enfermedad o de una influencia dañina|o
succession|serie, sucesión; herencia de un título o cargo|o;o
bureaucrat|funcionario del gobierno, burócrata|o
capitalize|aprovecharse (de); escribir con mayúscula; aportar capital a|v;v;v
consecutive|uno tras otro, consecutivo|o
discredit|dañar la reputación de, desacreditar|v
disruptive|que causa alteraciones, perturbador|o
illiberal|que restringe la libertad, intolerante|o
nurture|cuidar, fomentar el crecimiento|v
outlet|tienda que vende los productos de una empresa; vía de expresión; medio de comunicación|o;o;o
parity|igualdad, paridad|o
rapper|intérprete de música rap, rapero|o
bureaucratic|relativo a la burocracia; excesivamente formalista|o;o
eventual|que ocurre al final, final|o
expansionary|que fomenta el crecimiento económico, expansivo|o
hub|centro de actividad; cubo de una rueda|o;o
implicit|implícito, no dicho directamente|o
ion|átomo o molécula con carga eléctrica|o
polarization|división en grupos opuestos, polarización|o
aerial|desde el aire, aéreo|o
hegemony|dominio de un grupo o país, hegemonía|o
nihilist|persona que cree que la vida no tiene sentido|o
behavioral|relativo al comportamiento, conductual|o
paradox|afirmación o situación que parece contradictoria|o
payoff|recompensa, beneficio; soborno|o;o
simulation|imitación o modelo de una situación|o
diabetes|enfermedad con azúcar alta en la sangre|o
indebted|endeudado; agradecido|o;o
monarch|rey o reina, monarca|o
accumulation|acumulación gradual|o
omega|la última letra del alfabeto griego, ω|o
socialism|sistema de propiedad pública y reparto justo|o
symmetry|semejanza equilibrada a ambos lados, simetría|o
denote|indicar, significar|v
equitable|justo, equitativo|o
icon|símbolo famoso; pequeña imagen en una pantalla, ícono|o;o
prof|profesor (informal)|o
industrialization|desarrollo de la industria|o
paradigm|modelo, patrón típico|o
reap|obtener (un beneficio); cosechar|v;v
vocalist|cantante, vocalista|o
sanitation|sistemas de agua potable y eliminación de desechos, saneamiento|o
denominate|expresar en una moneda|v
illustration|dibujo, ilustración; ejemplo|o;o
recycle|procesar desechos para reutilizarlos, reciclar|v
removal|acción de quitar, eliminación|o
speculative|basado en conjeturas; arriesgado (de una inversión)|o;o
disarmament|reducción de armas, desarme|o
fertility|capacidad de tener hijos; riqueza del suelo|o;o
uprising|revuelta, levantamiento|o
artwork|obra de arte; las imágenes de una publicación|o;o
doctorate|el grado universitario más alto, doctorado|o
neuroscience|estudio del sistema nervioso, neurociencia|o
optical|relativo a la vista o la luz, óptico|o
straightforward|sencillo, fácil; honesto|o;o
aesthetic|relativo a la belleza o al arte, estético|o
expectancy|expectativa (en life expectancy: esperanza de vida)|o
partisan|que apoya firmemente a un partido, partidista|o
proxy|persona o país que actúa en nombre de otro|o
psi|la letra griega ψ|o
incur|incurrir en (un costo o una sanción)|v
ironically|de forma inesperada o contradictoria, irónicamente|o
suffrage|el derecho al voto, sufragio|o
exclusively|solo, exclusivamente|o
persecution|trato cruel por las creencias o la identidad, persecución|o
playwright|autor de obras de teatro, dramaturgo|o
trio|grupo de tres, trío|o
beneficiary|persona que se beneficia o hereda, beneficiario|o
compliance|cumplimiento de las normas|o
discourse|discusión, debate; forma de hablar sobre un tema, discurso|o;o
industrialize|desarrollar la industria en, industrializar|v
presumably|probablemente, según se supone|o
recursive|que se repite remitiéndose a sí mismo, recursivo|o
seeker|persona que busca (p. ej. asylum seeker, solicitante de asilo)|o
collectively|como grupo, en conjunto|o
convene|convocar, reunir|v
inhabit|habitar, vivir en|v
median|el valor central de un conjunto ordenado, mediana|o
complement|algo que completa o combina con otra cosa, complemento|o
correlation|relación mutua entre cosas, correlación|o
embark|emprender; embarcar en un barco o avión|v;v
unclear|poco claro, incierto|o
centralize|poner bajo control central, centralizar|v
emigrate|dejar el propio país para vivir en otro, emigrar|v
prominence|importancia o fama, prominencia|o
rotation|giro, rotación; turnarse|o;o
algebra|matemáticas que usan letras en lugar de números, álgebra|o
archaeological|relativo a la arqueología|o
budgetary|relativo a un presupuesto, presupuestario|o
compilation|recopilación, colección|o
grievance|queja, sensación de injusticia|o
proponent|partidario, defensor|o
adjacent|contiguo, vecino|o
computation|cálculo|o
distortion|deformación; tergiversación|o;o
eradicate|eliminar por completo, erradicar|v
formulate|idear; expresar con precisión|v;v
harmful|dañino, perjudicial|o
imaging|obtención de imágenes del cuerpo o de objetos|o
larva|etapa joven de un insecto, larva|o
resistant|capaz de resistir, inmune; opuesto|o;o
telecommunication|comunicación a distancia por teléfono, radio o internet|o
caste|clase social hereditaria, casta|o
emit|emitir, despedir (luz, gas, sonido)|v
abolish|poner fin oficialmente, abolir|v
containment|mantenimiento de algo bajo control, contención|o
exemplify|ser un ejemplo típico de, ejemplificar|v
foreseeable|previsible|o
atrocity|acto muy cruel, atrocidad|o
benchmark|punto de referencia para comparar|o
demise|fin, muerte|o
deterrence|disuasión de un ataque mediante la amenaza de represalias|o
pointer|consejo, pista; indicador|o;o
shale|roca blanda en capas, fuente de petróleo y gas, esquisto|o
calorie|unidad de energía de los alimentos, caloría|o
entrepreneurship|creación y gestión de negocios, emprendimiento|o
limitation|restricción; debilidad|o;o
malaise|sensación general de malestar o decadencia|o
meditation|pensamiento sereno y concentrado, a menudo como práctica|o
oligarch|persona rica con influencia política, oligarca|o
practitioner|persona que ejerce una profesión|o
crony|amigo íntimo, sobre todo uno favorecido injustamente, compinche|o
guideline|norma o principio orientativo, pauta|o
liberalism|filosofía que favorece la libertad y la reforma, liberalismo|o
mater|(en alma mater) la escuela o universidad donde uno estudió|o
mythology|conjunto de mitos, mitología|o
overwhelmingly|en gran medida, por amplia mayoría|o
compile|reunir, recopilar|v
conditional|que depende de una condición, condicional|o
fairness|justicia, imparcialidad|o
landmark|edificio o lugar emblemático; hito|o;o
misguide|engañar, desorientar|v
spacecraft|vehículo para viajar por el espacio, nave espacial|o
adversary|oponente, enemigo, adversario|o
dual|doble, de dos partes|o
invoke|invocar, citar|v
enrich|mejorar; enriquecer|v;v
liberalize|eliminar restricciones de, liberalizar|v
multiplication|multiplicación de números; aumento en número|o;o
philosophical|relativo a la filosofía; sereno ante las dificultades|o;o
polio|enfermedad viral que puede causar parálisis|o
critically|gravemente; de forma crítica|o;o
leftist|partidario de la izquierda política, izquierdista|o
longstanding|que existe desde hace mucho tiempo|o
reformer|persona que impulsa reformas|o
interestingly|curiosamente, de forma interesante|o
predominantly|principalmente, mayoritariamente|o
residential|con viviendas, residencial|o
stifle|reprimir, sofocar|v
utilize|usar, utilizar|v
legislature|órgano que hace las leyes, poder legislativo|o
obscure|poco conocido; poco claro|o;o
profitable|que da ganancias, rentable|o
reproduce|copiar, reproducir; tener crías, reproducirse|v;v
sensory|relativo a los sentidos, sensorial|o
summary|breve resumen de los puntos principales|o
theoretical|basado en la teoría, teórico|o
allele|una de las formas de un gen, alelo|o
aspire|aspirar, esperar lograr|v
availability|disponibilidad|o
brink|el borde (de algo malo)|o
completion|terminación, finalización|o
emulate|imitar, intentar igualar, emular|v
ensue|seguir como resultado|v
footballer|jugador de fútbol, futbolista|o
indispensable|esencial, indispensable|o
partition|división, sobre todo de un país; tabique|o;o
remarkably|sorprendentemente, notablemente|o
showcase|mostrar en su mejor aspecto, exhibir|v
topple|derrocar; caerse, volcarse|v;v
transnational|que traspasa las fronteras nacionales|o
unpopular|que no gusta, impopular|o
grammar|las reglas de una lengua, gramática|o
interactive|con comunicación en ambos sentidos, interactivo|o
minimal|el menor posible, muy pequeño, mínimo|o
refinery|planta que purifica petróleo o azúcar, refinería|o
respective|propio de cada uno por separado, respectivo|o
thereafter|a partir de entonces, después|o
viva|¡viva! (grito de apoyo); examen oral de defensa de una tesis|o;o
basin|lavamanos, pileta; cuenca de un río|o;o
bla|palabrería, etcétera (en bla bla bla)|o
depreciate|perder valor con el tiempo, depreciarse|v
editorial|artículo de un periódico que expresa su opinión, editorial|o
exclusion|dejar fuera, exclusión|o
intron|parte de un gen que se elimina antes de usarse para producir proteínas|o
pervasive|extendido por todas partes, omnipresente|o
tsunami|ola gigante causada por un terremoto|o
disintegration|ruptura en pedazos, desintegración|o
nonprofit|sin fines de lucro; organización benéfica, no comercial|o;o
comparative|que implica comparación, relativo; forma del adjetivo que significa "más" (bigger, better)|o;o
dubious|dudoso, cuestionable, probablemente deshonesto|o
epsilon|quinta letra del alfabeto griego; cantidad muy pequeña (en matemáticas)|o;o
excessively|demasiado, más de lo razonable|o
impunity|ausencia de castigo, impunidad|o
relocate|trasladarse a un lugar nuevo, reubicar|v
disregard|ignorar, no prestar atención a|v
erosion|desgaste gradual, erosión|o
installation|colocación, instalación; equipo o edificio instalado con un fin|o;o
inward|hacia dentro|o
justification|razón válida que se da para algo, justificación|o
launching|inicio, lanzamiento; envío de un cohete o botadura de un barco|o;o
annexation|toma del control de territorio de otro país, anexión|o
fungus|hongo, moho u organismo similar|o
scrutiny|examen minucioso y cuidadoso, escrutinio|o
tuple|lista ordenada de valores (en matemáticas e informática), tupla|o
decimal|de base diez; número con parte decimal (3.5)|o;o
extinct|que ya no existe (de una especie); inactivo (de un volcán)|o;o
functional|que funciona, práctico; relativo a la función|o;o
garner|reunir, recoger, ganar (apoyo, elogios)|v
tangent|línea que toca una curva en un punto; cambio repentino de tema|o;o
aggravate|empeorar, agravar; molestar, irritar|v;v
excellence|calidad muy alta, excelencia|o
merger|unión de dos empresas en una, fusión|o
overhaul|revisar y reparar por completo, reformar a fondo|v
pave|pavimentar un camino o sendero|v
horizontal|plano, nivelado, paralelo al suelo|o
outflow|salida, sobre todo de dinero o de un líquido|o
rectangle|figura de cuatro lados con cuatro ángulos rectos, rectángulo|o
allegedly|según se afirma sin pruebas, supuestamente|o
authoritarianism|gobierno de un líder o grupo que exige obediencia estricta, autoritarismo|o
contradiction|afirmación o hecho que se opone a otro, contradicción|o
efficiently|sin desperdiciar tiempo, esfuerzo ni dinero, eficientemente|o
heterosexual|que se siente atraído por personas del sexo opuesto|o
obesity|condición de tener mucho sobrepeso, obesidad|o
vastly|enormemente, muchísimo|o
downside|desventaja, inconveniente|o
homosexuality|atracción por personas del mismo sexo, homosexualidad|o
skepticism|duda, dificultad para creer, escepticismo|o
slump|caída repentina de precios, ventas o actividad; desplomarse al sentarse o caer|o;v
wield|empuñar y usar (un arma, una herramienta); tener y ejercer (el poder)|v;v
metric|medida, indicador; del sistema métrico (metro y kilogramo)|o;o
reasonably|bastante, razonablemente; con sensatez|o;o
routinely|habitualmente, como práctica normal|o
similarity|parecido, semejanza|o
biographical|sobre la vida de una persona, biográfico|o
broadcaster|empresa de radio o televisión; persona que presenta programas|o;o
degradation|deterioro de la calidad o el estado; humillación|o;o
democratically|mediante el voto, de forma justa y abierta|o
fallout|consecuencias negativas; polvo radiactivo tras una explosión nuclear|o;o
lockdown|orden de permanecer en casa o cerrado, confinamiento|o
outline|puntos principales, esquema; contorno, silueta|o;o
rebound|recuperarse, repuntar|v
sodium|elemento químico blando, blanco plateado, presente en la sal, sodio|o
stagnate|dejar de desarrollarse o crecer, estancarse|v
statistical|relativo a la estadística, basado en números|o
systematic|metódico, hecho según un plan, sistemático|o
urgency|necesidad de actuar rápido, urgencia|o
administrator|persona que dirige una organización o un sistema, administrador|o
compact|pequeño y que ocupa poco espacio; acuerdo, pacto|o;o
nucleus|parte central de un átomo o una célula; núcleo, centro|o;o
deflationary|que hace bajar los precios, deflacionario|o
folder|carpeta para papeles o archivos de computadora|o
journalism|oficio de escribir noticias, periodismo|o
unequal|desigual, injusto|o
ample|más que suficiente, abundante|o
astronomer|científico que estudia las estrellas y los planetas, astrónomo|o
controller|persona que dirige o gestiona; dispositivo para controlar algo, control|o;o
deity|dios o diosa, deidad|o
deleveraging|reducción de la deuda, desapalancamiento|o
overview|descripción general, resumen|o
repayment|devolución del dinero adeudado, reembolso|o
comply|cumplir, obedecer (una norma o petición)|v
mosaic|imagen hecha con trocitos de piedra o vidrio; mezcla de muchas partes|o;o
poise|confianza serena, equilibrio elegante, aplomo|o
protracted|que dura mucho tiempo, prolongado|o
simulate|imitar, reproducir artificialmente, simular|v
alienate|distanciar a alguien, hacer que se sienta excluido|v
arc|línea curva, parte de un círculo, arco; desarrollo de una historia|o;o
fundamentalist|persona que sigue estrictamente las normas básicas de una religión, fundamentalista|o
impoverish|empobrecer|v
overly|demasiado, excesivamente|o
tuberculosis|enfermedad pulmonar infecciosa grave|o
uranium|metal radiactivo usado en la energía nuclear, uranio|o
applejack|aguardiente de manzana|o
augment|aumentar, incrementar|v
copyright|derecho legal a controlar las copias de una obra creativa, derechos de autor|o
fubar|totalmente descompuesto, arruinado (jerga)|o
imprisonment|encarcelamiento, estar preso|o
lambda|undécima letra del alfabeto griego|o
literacy|capacidad de leer y escribir, alfabetización|o
macro|a gran escala, global; conjunto de comandos de computadora grabados|o;o
restructure|organizar de una forma nueva, reestructurar|v
contemplate|considerar, pensar detenidamente en|v
democratization|conversión de un país o sistema en democrático, democratización|o
designation|nombre o título oficial; nombramiento|o;o
dissent|desacuerdo con la postura oficial, disidencia|o
formidable|impresionante e intimidante, muy fuerte|o
iteration|repetición, una versión; un paso de un proceso repetido|o;o
prone|propenso a sufrir o hacer algo; boca abajo|o;o
proton|partícula con carga positiva del núcleo del átomo, protón|o
rainforest|selva tropical densa y lluviosa|o
saver|persona que ahorra dinero; algo que ahorra (tiempo, energía)|o;o
smartphone|teléfono celular que funciona como una pequeña computadora|o
unification|unión en uno solo, unificación|o
wireless|sin cables, inalámbrico|o
anthem|canción de alabanza, sobre todo el himno nacional|o
crackdown|medida severa para acabar con algo, mano dura|o
disproportionately|demasiado o demasiado poco en comparación con otra cosa, desproporcionadamente|o
dysfunctional|que no funciona bien, disfuncional|o
financially|en términos de dinero, económicamente|o
parenthesis|paréntesis; palabras añadidas como inciso|o;o
tenure|período en el cargo; plaza permanente|o;o
conversion|cambio de una forma o uso a otro; cambio de religión|o;o
premature|demasiado temprano, antes de tiempo, prematuro|o
alga|planta acuática simple sin raíces, alga (plural algae)|o
deviation|alejamiento de lo normal o lo esperado, desviación|o
gradient|pendiente, inclinación; tasa de cambio, gradiente|o;o
lesser|menor, menos importante|o
micro|muy pequeño, a pequeña escala|o
outsource|pagar a una empresa externa para hacer un trabajo, tercerizar|v
rampant|que se extiende sin control, desenfrenado|o
thermal|relativo al calor, térmico|o
upheaval|cambio o trastorno repentino y grande, convulsión|o
annex|anexar un territorio; edificio adicional unido a otro, anexo|v;o
finite|limitado, que tiene fin, finito|o
geographical|relativo a la geografía, a los lugares|o
postwar|de la posguerra, después de una guerra|o
subscription|pago periódico para recibir un servicio o una publicación, suscripción|o
tutorial|lección, sobre todo instrucciones paso a paso|o
bulk|la mayor parte; gran tamaño o cantidad|o;o
clout|influencia, poder|o
concerted|hecho en conjunto, planeado en común, concertado|o
dissident|persona que se opone abiertamente a un gobierno, disidente|o
distrust|falta de confianza, desconfianza|o
encompass|abarcar, incluir|v
interconnect|conectar entre sí, interconectar|v
