# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in Indonesian. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows Indonesian where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|kamu, Anda (satu orang atau lebih)|f2s2p
loft|loteng, ruang di bawah atap|o
mp|MP, anggota parlemen|o
nominate|mencalonkan untuk jabatan atau penghargaan|v
greatness|kebesaran, keagungan|o
repent|bertobat, menyesali kesalahan dan berbalik darinya|v
solicitor|pengacara penasihat yang menyiapkan perkara (Inggris)|o
decency|kesopanan, perilaku yang patut dan jujur|o
marking|tanda, corak pada sesuatu|o
mayday|(seruan radio minta tolong dalam bahaya besar)|g
alleged|(katanya) diduga, belum terbukti|o
asap|ASAP, secepat mungkin|o
exceed|melampaui batas, melebihi|v
soar|melambung tinggi, membubung; melonjak, naik cepat|v;v
cuckoo|burung kukuk, yang bertelur di sarang burung lain|o
melon|melon, semangka dan sejenisnya|o
brownie|brownies, kue cokelat kecil; anggota Pramuka putri usia dini|o;o
descendant|keturunan, anak cucu dari seorang leluhur|o
secondly|kedua, pada urutan kedua|o
yogurt|yoghurt|o
fishy|berbau amis; mencurigakan, ada yang tidak beres|o;o
tory|Tory, anggota atau pendukung Partai Konservatif Inggris|o
homemade|buatan rumah, bukan beli jadi|o
paycheck|gaji yang dibayarkan; cek gaji (Amerika)|o;o
genuinely|sungguh-sungguh, dengan tulus|o
apron|celemek|o
hybrid|hibrida, hasil persilangan dua jenis|o
requirement|syarat, hal yang diperlukan atau dituntut|o
remorse|penyesalan mendalam atas kesalahan|o
restroom|kamar kecil, toilet di gedung umum (Amerika)|o
courageous|berani|o
splinter|serpihan tajam kayu atau kaca|o
determination|ketetapan hati, tekad yang tak menyerah|o
flourish|tumbuh subur, berkembang pesat; gerakan berlagak, ayunan mencolok|v;o
publishing|penerbitan buku dan surat kabar|o
well-known|terkenal, dikenal banyak orang|o
blindfold|kain penutup mata|o
testament|bukti, tanda penghargaan; Perjanjian, salah satu bagian Alkitab|o;o
apocalypse|kiamat, akhir dunia; malapetaka besar|o;o
phew|(bunyi lega) fiuh|g
dicks|(vulgar) laki-laki keparat, orang menyebalkan|o
notch|takik, sayatan berbentuk V; tingkat, satu jenjang pada skala|o;o
squirt|menyemprotkan cairan dalam pancaran tipis|v
videotape|pita video, penyimpan gambar dan suara|o
detonate|meledakkan, menyulut ledakan|v
ketchup|saus tomat, kecap tomat|o
dazzle|menyilaukan sesaat dengan cahaya terang; memukau, sangat mengesankan|v;v
declaration|deklarasi, pernyataan resmi di depan umum|o
tummy|perut (kata anak-anak)|o
yakuza|yakuza, sindikat kejahatan Jepang|o
spiral|spiral, lengkung melingkar mengelilingi pusat; meliuk tak terkendali, melonjak atau anjlok tanpa kendali|o;v
dim|redup, remang-remang; tumpul otaknya, lambat menangkap|o;o
lurk|mengintai, menunggu tersembunyi siap menerkam|v
molecule|molekul, bagian terkecil suatu zat yang masih bersifat sama|o
legit|sah, jujur dan menurut hukum (informal)|o
prototype|prototipe, model pertama untuk menguji rancangan|o
caw|(bunyi parau burung gagak)|g
moreover|lagi pula, selain itu|o
organisation|organisation, ejaan Inggris dari organization|o
heroine|pahlawan perempuan; tokoh utama perempuan dalam cerita|o;o
plaza|plaza, alun-alun kota; plaza, pusat perbelanjaan|o;o
truce|gencatan senjata, kesepakatan berhenti bertempur sementara|o
suburb|pinggiran kota, permukiman di luar pusat|o
hindu|orang Hindu; Hindu, tentang agama itu|o;o
reunite|mempertemukan kembali|v
incapable|tidak mampu, tak sanggup|o
germ|kuman, makhluk renik penyebab penyakit|o
hq|HQ, markas besar|o
statistic|statistik, angka dari fakta yang dikumpulkan|o
privately|secara pribadi, tidak di depan umum; swasta, bukan oleh negara|o;o
consolation|penghiburan dalam duka; pelipur lara, hal yang menghibur|o;o
fright|kaget, rasa takut yang mendadak|o
leaning|miring, condong; kecenderungan, kesukaan yang menariknya ke satu arah|o;o
mic|mik, mikrofon (informal)|o
runnin|running, sedang berlari (ejaan santai)|o
defender|pembela, pemain bertahan|o
millennium|milenium, kurun seribu tahun|o
verge|tepi, batas pinggir; on the verge of: hampir, di ambang|o;n
duct|saluran, pipa pembawa udara atau cairan|o
lucifer|(Lucifer) Lusifer, Iblis|o
redeem|menebus kesalahan, memulihkan nama; menebus, membeli kembali|v;v
stabbing|penusukan dengan pisau; (tentang nyeri) menusuk dan mendadak|o;o
jewellery|jewellery, ejaan Inggris dari jewelry|o
chug|(bunyi tetap mesin yang mendengus)|g
erotic|erotis, membangkitkan berahi|o
mercenary|tentara bayaran di dinas asing; matre, hanya memikirkan uang|o;o
captive|tawanan, orang yang ditahan; tertawan, dikurung|o;o
ale|ale, sejenis bir|o
englishman|orang Inggris laki-laki|o
foe|musuh, seteru|o
menace|ancaman bahaya; biang onar, orang yang menyusahkan|o;o
redemption|penebusan dosa, keselamatan; penebusan, penghapusan kesalahan|o;o
exclude|tidak mengizinkan masuk, menyingkirkan; mengecualikan, tidak menyertakan|v;v
speculation|spekulasi, dugaan tanpa fakta lengkap; spekulasi, pembelian demi harapan untung|o;o
civilisation|civilisation, ejaan Inggris dari civilization|o
heed|mengindahkan, menaruh perhatian pada; perhatian, kewaspadaan|v;o
nsa|NSA, badan intelijen sinyal Amerika Serikat|o
tornado|tornado, angin puting beliung yang menghancurkan|o
plasma|plasma, bagian cair darah; plasma, gas panas bermuatan|o;o
graphic|gamblang, digambarkan dengan rinci dan hidup; grafis, tentang gambar dan desain|o;o
parcel|paket, bungkusan kiriman|o
scram|(informal) pergi sana, enyah|o
cocky|sok, terlalu percaya diri|o
poo|(kata anak-anak) pup, kotoran|o
supplier|pemasok, penyedia barang|o
shuffle|menyeret kaki saat berjalan; mengocok kartu|v;v
telly|televisi, TV (informal Inggris)|o
dumpster|bak sampah logam besar untuk puing bangunan (Amerika)|o
imbecile|orang tolol|o
isle|pulau|o
poorly|dengan buruk; kurang sehat, sakit (Inggris)|o;o
polo|polo, permainan berkuda dengan tongkat dan bola|o
bamboo|bambu|o
matrix|matriks, susunan angka atau kotak; matriks, lingkungan tempat sesuatu tumbuh|o;o
firmly|dengan kukuh, dengan mantap tak tergoyahkan|o
boast|menyombongkan, membual tentang milik atau kemampuannya|v
decay|membusuk, melapuk; merosot, jatuh ke keadaan yang lebih buruk|v;v
starboard|lambung kanan kapal|o
chauffeur|sopir pribadi|o
closure|penutupan, penghentian; rasa tuntas, perasaan bahwa perkara sudah usai|o;o
hebrew|Ibrani, tentang bangsa Ibrani; bahasa Ibrani|o;o
inconvenience|kerepotan, kesusahan karena hal yang tidak praktis|o
withdrawal|penarikan, pengambilan kembali; gejala putus obat, penderitaan setelah berhenti memakai|o;o
garrison|garnisun, pasukan yang ditempatkan di kota atau benteng|o
glitter|berkilauan, berkelip-kelip|v
chord|akor, nada-nada yang dibunyikan serentak|o
saloon|kedai minum di Amerika Barat; sedan, mobil berbodi tertutup (Inggris)|o;o
cctv|CCTV, kamera pengawas suatu tempat|o
darlin|darling, sayang (ejaan santai)|o
hardship|kesusahan hidup, penderitaan karena keadaan berat|o
'tis|(kuno) itu adalah|f3s
calmly|dengan tenang, dengan mantap|o
mathematics|matematika|o
treasury|kementerian keuangan, departemen pengelola uang negara; perbendaharaan, kas simpanan|o;o
abbey|biara; gereja besar bekas biara|o;o
shameful|memalukan, patut dimalukan|o
strategic|strategis, dirancang untuk tujuan jangka panjang|o
payroll|daftar gaji karyawan|o
shilling|syiling, koin Inggris lama senilai dua belas pence|o
criticism|kritik, pencarian cela; kritik, penilaian cermat atas karya seni|o;o
heartless|tak berperasaan, tanpa belas kasihan|o
immense|sangat besar, luar biasa luas|o
tumble|terguling-guling jatuh|v
badger|luak, hewan hitam putih penggali liang; merecoki dengan pertanyaan|o;v
receiver|gagang telepon; penerima, alat penangkap sinyal; penadah barang curian|o;o;o
pharmaceutical|farmasi, tentang pembuatan obat|v
elimination|penyingkiran, penghapusan; penyisihan, penggusuran dari lomba|o;o
gulp|menelan cepat, meneguk banyak-banyak|v
pineapple|nanas|o
'this|(salah cetak dari this) ini|o
switching|berganti, beralih|o
esteem|penghargaan, rasa hormat yang tinggi|o
stinky|berbau busuk|o
cluster|gugus, kelompok kecil yang rapat|o
heil|(Jerman) hidup, dalam salam Nazi|o
orderly|rapi dan tertib; perawat pembantu, ajudan di rumah sakit atau tentara|o;o
secrecy|kerahasiaan, penjagaan rahasia|o
ahold|(get ahold of) mendapatkan, berhasil menghubungi|v
bowel|usus, saluran pembuang sisa makanan|o
casing|selongsong, penutup pelindung|o
weary|letih sekali; jemu, bosan akan sesuatu|o;o
rue|menyesali; tanaman rue, herba pahit liar|v;o
extensive|luas, mencakup wilayah atau cakupan yang lebar|o
lotus|teratai, bunga suci di Timur|o
optimistic|optimistis, berharap hasilnya baik|o
urgently|dengan mendesak, perlu ditangani segera|o
maze|labirin, jaringan lorong yang membingungkan|o
spooky|menyeramkan, seperti berhantu|o
paste|pasta, adonan lembek yang lengket; menempelkan dengan lem|o;v
tonic|tonik, minuman penambah tenaga; air tonik, soda berkina|o;o
fireplace|perapian|o
vicar|vikaris, pastor kepala paroki (Inggris)|o
skating|berseluncur dengan sepatu roda atau es|o
stupidity|kebodohan; kebodohan, tindakan tolol|o;o
sneaky|licik, bertindak diam-diam dan curang|o
dumpling|pangsit, bulatan adonan yang direbus dalam kuah|o
frequent|sering terjadi; sering mendatangi suatu tempat|o;v
mixture|campuran, hasil pencampuran; perpaduan, gabungan|o;o
rust|karat|o
liberation|pembebasan|o
comeback|kebangkitan kembali, kembali berjaya; jawaban balik yang tangkas|o;o
freeway|jalan bebas hambatan tanpa tol (Amerika)|o
nay|(kuno) tidak; bahkan, malah lebih dari itu|o;o
latte|latte, kopi dengan banyak susu panas|o
onward|maju ke depan, terus|o
swat|SWAT, satuan polisi bersenjata; menepuk serangga dengan pukulan datar|o;v
'that|(salah cetak dari that) itu|o
admirer|pengagum, orang yang menaruh hati|o
reindeer|rusa kutub|o
attacker|penyerang|o
incline|lereng, tanjakan; miring, condong; cenderung, condong untuk|o;v;v
shampoo|sampo|o
mammal|mamalia, hewan menyusui|o
snail|siput, keong|o
overhead|di atas kepala; biaya tetap, ongkos jalannya usaha|o;o
successor|pengganti, penerus|o
excess|kelebihan, lebih dari yang perlu atau dibolehkan|o
sighting|penampakan, terlihatnya sesuatu yang langka|o
booking|pemesanan tempat atau kamar|o
adrenaline|adrenalin, zat yang timbul saat takut atau bersemangat|o
algorithm|algoritma, urutan langkah yang diikuti komputer untuk memecahkan masalah|o
manor|puri, rumah besar berlahan luas di desa|o
stressful|membuat stres, menegangkan dan melelahkan|o
salty|asin|o
soy|kedelai, kecap dan kacang dari tanaman kedelai|o
hover|melayang di udara di satu tempat; berkeliaran dekat seseorang, menunggu-nunggu|v;v
stabilize|menstabilkan, memantapkan|v
rodeo|rodeo, pertunjukan menunggang kuda liar dan menjerat sapi|o
typewriter|mesin tik|o
administer|mengelola, menjalankan organisasi; memberikan obat atau menegakkan keadilan|v;v
cardiac|jantung, tentang jantung|v
tavern|kedai minum, penginapan berbar|o
refine|memurnikan; menyempurnakan, memperhalus sedikit demi sedikit|v;v
velvet|beledu, kain tebal berbulu halus|o
warfare|peperangan, jalannya perang|o
sterling|sterling, mata uang Inggris; sterling, berkadar murni sesuai standar; bermutu tinggi, luhur|o;o;o
gran|nenek (informal Inggris)|o
juror|anggota juri|o
multiply|berlipat ganda, bertambah banyak; mengalikan bilangan|v;v
slum|kawasan kumuh|o
bravery|keberanian|o
diversion|pengalihan jalur; pengalih perhatian; hiburan, pelipur lara|o;o;o
revenue|pendapatan negara atau perusahaan|o
inflict|menimpakan, membuat orang menderita sesuatu|v
lash|mencambuk; mengikat kuat-kuat|v;v
heave|mengangkat atau menarik dengan sekuat tenaga|v
morality|moralitas, asas benar dan salah|o
pd|PD, kepolisian, departemen kepolisian|o
coupon|kupon, potongan cetak berisi hak diskon|o
smoothly|dengan mulus, tanpa hambatan|o
cradle|ayunan bayi; tempat lahir, asal mula sesuatu|o;o
wh-what|(terbata-bata) what, apa|o
psychotic|psikotik, lepas dari kenyataan karena gangguan jiwa|o
withhold|menahan, tidak mau memberikan|v
aggression|agresivitas, kesiapan menyerang; agresi, tindakan kekerasan terhadap pihak lain|o;o
bumper|bemper, palang depan dan belakang mobil; melimpah, luar biasa besar|o;o
steroid|steroid, obat pembentuk otot atau peredam radang|o
tuition|pengajaran, bimbingan; uang kuliah, biaya pendidikan (Amerika)|o;o
eclipse|gerhana, tertutupnya matahari atau bulan; mengalahkan, menenggelamkan pamor|o;v
jap|(hinaan kasar untuk orang Jepang)|g
explorer|penjelajah|o
increasingly|kian lama kian, makin lama makin|o
shady|teduh, banyak bayangan; mencurigakan, tampak tidak jujur|o;o
printer|pencetak, mesin cetak; tukang cetak, orang yang berprofesi mencetak|o;o
sod|(vulgar, Inggris) orang atau hal yang menyusahkan; bongkah rumput|o;o
gunman|pria bersenjata api|o
scenery|pemandangan alam; dekor panggung, latar lukisan|o;o
trek|perjalanan jauh dan berat dengan berjalan kaki|o
initially|mula-mula, pada awalnya|o
hive|sarang lebah|o
shredder|mesin penghancur kertas|o
vary|berbeda-beda; berubah-ubah dari waktu ke waktu|v;v
alligator|aligator, buaya bermoncong lebar|o
getaway|pelarian setelah kejahatan|o
leash|tali penuntun anjing|o
liability|tanggung jawab hukum; beban, orang atau hal yang menyusahkan|o;o
livin|living, sedang hidup (ejaan santai)|o
temp|pekerja sementara|o
'oh|(salah cetak dari oh) oh|o
slogan|slogan, semboyan pendek untuk iklan atau protes|o
undermine|menggerogoti, melemahkan sedikit demi sedikit|v
measurement|ukuran hasil pengukuran; pengukuran, tindakan mengukur|o;o
override|membatalkan keputusan orang lain; mengambil alih kendali secara manual|v;v
contagious|menular, mudah berpindah antar orang|o
frequently|sering|o
operational|operasional, sudah bekerja dan siap pakai; operasional, tentang pelaksanaan|o;v
basil|kemangi, selasih harum untuk masakan|o
deport|mendeportasi, memulangkan orang asing dari negeri|v
'to|(salah cetak dari to) ke|o
buffet|prasmanan, jamuan dengan tamu mengambil sendiri; menghantam bertubi-tubi|o;v
cocoa|bubuk cokelat dari biji kakao; cokelat panas, minuman dari bubuk itu|o;o
destroyer|kapal perusak; perusak, orang atau hal yang menghancurkan|o;o
frenchman|orang Prancis laki-laki|o
pending|belum diputuskan, tertunda; sambil menunggu, sampai|o;o
slurp|(bunyi seruputan keras saat minum)|g
nervously|dengan gugup, dengan gelisah|o
sprout|bertunas, mulai tumbuh; tunas, kecambah muda|v;o
capability|kemampuan, daya melakukan sesuatu|o
ongoing|masih berlangsung|o
loo|toilet, WC (informal Inggris)|o
membership|keanggotaan; anggota, seluruh anggotanya|o;o
listener|pendengar|o
tangle|kekusutan, gumpalan yang sulit diurai; mengusutkan, membelit|o;v
chalk|kapur, batu putih lunak; kapur tulis|o;o
liable|bertanggung jawab menurut hukum; mudah, cenderung|o;o
squid|cumi-cumi|o
rook|burung gagak besar; benteng, buah catur berbentuk menara|o;o
ramp|jalan landai penghubung dua ketinggian|o
hoof|kuku kaki kuda atau sapi|o
unaware|tidak sadar, tidak tahu akan sesuatu|o
wither|layu, mengering dan memudar|v
bagel|bagel, roti bundar berlubang tengah|o
hoop|simpai, gelang besar dari kayu atau logam|o
padre|(Spanyol) bapa, romo; rohaniwan tentara|o;o
break-in|pembobolan, masuk paksa ke bangunan untuk mencuri|o
sparrow|burung gereja, pipit cokelat kecil|o
elevate|mengangkat naik; menaikkan pangkat|v;v
blueprint|cetak biru, rancangan rinci|o
pow|(bunyi hantaman atau tembakan keras)|g
revolver|revolver, pistol berputar tempat pelurunya|o
stump|tunggul pohon; membuat mentok, membingungkan sama sekali|o;v
certainty|kepastian, rasa yakin; kepastian, hal yang pasti terjadi|o;o
slate|batu tulis, batu abu-abu yang membelah tipis; mengecam habis-habisan|o;v
grumble|menggerutu, mengeluh dengan suara pelan|v
sinister|mengancam, memberi firasat jahat|o
dryer|mesin pengering pakaian atau rambut|o
mailbox|kotak surat|o
amusement|rasa geli, terhibur; hiburan, hal yang menyenangkan|o;o
consumer|konsumen, pembeli dan pemakai barang|o
epidemic|wabah, penyakit yang menyebar cepat|o
generosity|kemurahan hati|o
quarry|tambang batu; buruan, hewan yang diburu|o;o
assess|menilai, menaksir mutunya|v
beta|beta, huruf kedua abjad Yunani; beta, versi uji coba suatu program|o;o
appal|mengguncang batin, membuat sangat terkejut|v
evidently|jelas, nyata terlihat|o
gamma|gama, huruf ketiga abjad Yunani; sinar gama, pancaran kuat dari zat radioaktif|o;o
militia|milisi, warga yang dilatih menjadi tentara|o
sphere|bola, benda bulat; ranah, bidang kegiatan|o;o
tyrant|tiran, penguasa kejam bertangan besi|o
evacuation|evakuasi, pemindahan orang dari bahaya|o
rooftop|atap gedung|o
incompetent|tidak becus, tak mampu mengerjakan tugasnya|o
descent|turunnya, penurunan; keturunan, asal-usul keluarga|o;o
dreamer|pemimpi, orang yang rencananya tidak membumi|o
excessive|berlebihan, jauh terlalu banyak|o
fuzzy|berbulu halus; kabur, tidak jelas|o;o
wildlife|satwa dan tumbuhan liar|o
homecoming|kepulangan, kembali ke rumah|o
swelling|bengkak, bagian tubuh yang membesar karena cedera|o
knob|kenop, gagang bulat; benjol kecil, tonjolan bundar|o;o
crumb|remah roti atau kue|o
grin|menyeringai, tersenyum lebar|v
masturbate|beronani, memuaskan diri sendiri dengan tangan|v
christianity|agama Kristen, ajaran Kristus|o
breakup|putusnya hubungan; pecahnya, hancur berkeping|o;o
peso|peso, mata uang Meksiko dan beberapa negara lain|o
depot|depo, gudang barang; depo, garasi bus|o;o
deception|penipuan, membuat orang percaya yang tidak benar|o
sizzle|(bunyi desis penggorengan)|g
holder|pemegang gelar atau jabatan; tempat, wadah penahan sesuatu|o;o
margin|margin, tepi kosong halaman; kelonggaran, sisa yang tersedia; margin, laba yang diperoleh|o;o;o
ex-boyfriend|mantan pacar laki-laki|o
reflex|refleks, gerak tubuh tanpa dipikir|o
yer|your, milikmu (ejaan santai)|o
significance|arti penting; makna, maksud di balik sesuatu|o;o
soothe|menenangkan; meredakan rasa sakit|v;v
voodoo|vodun, agama roh dan sihir dari Afrika Barat dan Haiti|o
asthma|asma, penyakit yang menyesakkan napas|o
physicist|fisikawan, ilmuwan yang mempelajari materi dan energi|o
cutie|si manis, orang yang cantik atau menawan (informal)|o
jab|menusuk cepat, mencolek keras; jab, pukulan lurus pendek|v;o
radioactive|radioaktif, memancarkan sinar berbahaya saat atomnya meluruh|o
avatar|avatar, sosok pengganti diri di dunia maya; awatara, dewa yang menjelma|o;o
minority|minoritas, jumlah yang lebih kecil dari separuh; minoritas, golongan yang berbeda dari kebanyakan|o;o
orchid|anggrek|o
unreasonable|tidak masuk akal, tidak adil; berlebihan, menuntut terlalu banyak|o;o
wimp|pengecut, orang lemah tak bernyali|o
siege|pengepungan untuk memaksa menyerah|o
illegally|secara melawan hukum|o
intuition|intuisi, tahu tanpa perlu menalar|o
virtual|nyaris, boleh dibilang seperti yang disebut; virtual, buatan komputer|o;o
discourage|melunturkan semangat, membuat tak percaya diri; menghalangi, berusaha mencegah|v;v
manly|jantan, punya sifat yang dianggap pantas bagi lelaki|o
pneumonia|radang paru-paru, pneumonia|o
touchdown|touchdown, angka dalam futbol Amerika; pendaratan pesawat|o;o
twenty-five|25|o
badass|(informal) orang tangguh yang mengesankan; garang, luar biasa|o;o
mutt|anjing kampung, anjing tanpa ras jelas|o
venue|tempat berlangsungnya acara|o
hunk|bongkah tebal; pria kekar nan tampan (informal)|o;o
substantial|cukup besar, berarti; kokoh, dibangun kuat|o;o
turd|(vulgar) tahi, gumpalan kotoran; bajingan, orang keparat|o;o
unicorn|unikorn, kuda bercula satu dalam dongeng|o
amigo|(Spanyol) kawan, teman|o
courtyard|halaman dalam yang dikelilingi bangunan|o
onboard|di atas kapal, pesawat, atau dalam tim|o
spontaneous|spontan, dilakukan tanpa direncanakan; spontan, terjadi dengan sendirinya|o;o
wrench|merenggut sambil memuntir; kunci inggris, alat pencengkeram mur|v;o
textbook|buku pelajaran; contoh baku, persis seperti seharusnya|o;o
antenna|antena, penangkap gelombang radio; antena, sungut di kepala serangga|o;o
bonjour|(Prancis) selamat siang, halo|o
dodger|pengelak, orang yang menghindari kewajibannya|o
insecure|tidak percaya diri, minder; tidak aman, rawan|o;o
sympathetic|penuh simpati, ikut merasakan kesusahan orang; bersahabat, berpihak baik|o;o
cluck|(bunyi kotek ayam betina)|g
unidentified|tak dikenali, belum diketahui namanya|o
burp|(bunyi sendawa)|g
crude|kasar, belum digarap; kasar, tidak senonoh; mentah, masih alami|o;o;o
dependent|bergantung, mengandalkan orang lain untuk hidup|o
dictionary|kamus|o
ta-da|(diucapkan saat memamerkan sesuatu) ta-da|g
collateral|agunan, jaminan pinjaman; collateral damage: korban sampingan, celaka yang menimpa orang sekitar|o;n
missionary|misionaris, penyebar agama ke negeri lain|o
sovereign|raja atau ratu; berdaulat, berkuasa tertinggi|o;o
workout|latihan fisik, sesi olahraga|o
booby|(booby trap) jebakan tersembunyi; orang bodoh|o;o
doorway|ambang pintu, lubang tempat pintu terpasang|o
venom|bisa ular atau serangga; kedengkian, kegetiran yang beracun|o;o
broadcasting|penyiaran acara radio dan televisi|o
banking|perbankan, usaha bank|o
input|masukan, yang dimasukkan ke mesin atau proses; memasukkan data|o;v
conquest|penaklukan, pengalahan dan penguasaan suatu tempat|o
meaningful|bermakna, sarat arti; berarti, layak dikerjakan|o;o
octopus|gurita|o
daytime|siang hari|o
dowry|mas kawin, harta bawaan pengantin perempuan|o
ex-girlfriend|mantan pacar perempuan|o
reset|menyetel ulang ke keadaan awal|v
genie|jin, roh pengabul permintaan dalam cerita Arab|o
spinal|tulang belakang, tentang tulang punggung|o
trooper|prajurit berpangkat rendah; polisi negara bagian (Amerika)|o;o
bummer|hal mengecewakan, sial (informal)|o
cushion|bantal duduk atau sandaran; meredam, melunakkan benturan|o;v
midget|(merendahkan) orang cebol; sangat kecil|o;o
vouch|(vouch for) menjamin, memberi kesaksian bahwa seseorang atau sesuatu itu baik|v
mislead|menyesatkan, memberi gambaran keliru|v
swipe|menyabet, memukul dengan ayunan; menggasak, mencuri; menggesek kartu di pembaca|v;v;v
flop|terjatuh lunglai, terkulai; kegagalan total|v;o
goddammit|(vulgar) seruan marah, sialan|o
barricade|barikade, penghalang darurat penutup jalan|o
countdown|hitung mundur menuju nol sebelum suatu peristiwa|o
horrify|membuat ngeri dan muak|v
knockout|pukulan KO yang merobohkan petinju; orang yang memukau kecantikannya|o;o
quarterback|quarterback, pengatur serangan dalam futbol Amerika|o
eminence|(Your Eminence) Yang Mulia, sapaan untuk kardinal; kedudukan tinggi, kemasyhuran|o;o
wheeze|(bunyi mengi napas yang berat)|g
willingly|dengan rela, tanpa dipaksa|o
moor|padang tandus berbukit; menambatkan perahu|o;v
muck|kotoran, lumpur atau pupuk kandang|o
cheeky|kurang ajar dengan cara yang lucu, jail|o
lapd|LAPD, kepolisian Los Angeles|o
powerless|tak berdaya, tak punya kuasa berbuat|o
scalp|kulit kepala|o
sculpt|memahat, membentuk patung|v
composition|komposisi, susunan bagian-bagiannya; komposisi, karya musik atau tulisan|o;o
cruelty|kekejaman; kekejian, perbuatan kejam|o;o
external|luar, di atau dari sebelah luar|o
testicle|buah zakar, testis|o
cleanse|membersihkan sampai tuntas, menyucikan|v
sedative|obat penenang yang membawa kantuk|o
spelling|ejaan, cara sebuah kata dituliskan|o
accept|menerima, mau mengambil atau memercayai|v
within|di dalam, sebelum lewat|o
director|direktur perusahaan, sutradara film|o
corner|sudut, pojok pertemuan dua garis atau jalan|o
apparently|rupanya, kata orang begitu|o
literally|secara harfiah, sungguhan dan bukan kiasan|o
pa|ayah, bapak (informal)|o
chart|bagan angka, peta laut|o
cleaner|petugas atau bahan pembersih|o
immunity|kekebalan terhadap penyakit atau tuntutan hukum|o
severe|sangat buruk, sangat keras|o
believer|orang yang beriman atau memercayai suatu gagasan|o
crater|kawah gunung berapi atau lubang bekas ledakan|o
i'm|saya adalah|f1s
you're|kamu adalah|f2s2p
we're|kami adalah|f1p
they're|mereka adalah|f3p
he's|dia (laki-laki) adalah; dia (laki-laki) sudah (bentuk perfek)|f3s;f3s
she's|dia (perempuan) adalah; dia (perempuan) sudah (bentuk perfek)|f3s;f3s
it's|itu adalah; itu sudah (bentuk perfek)|f3s;f3s
that's|itu adalah|o
there's|ada, terdapat|o
here's|ini dia, di sini ada|o
what's|apa itu|o
who's|siapa itu|o
where's|di mana|o
how's|bagaimana|o
let's|mari kita, ayo (mengajak)|o
i've|saya sudah|f1s
you've|kamu sudah|f2s2p
we've|kami sudah|f1p
they've|mereka sudah|f3p
i'll|saya akan|f1s
you'll|kamu akan|f2s2p
he'll|dia (laki-laki) akan|f3s
she'll|dia (perempuan) akan|f3s
it'll|itu akan|f3s
we'll|kami akan|f1p
they'll|mereka akan|f3p
that'll|hal itu akan|o
i'd|saya akan; saya sudah (bentuk perfek lampau)|f1s;f1s
you'd|kamu akan; kamu sudah (bentuk perfek lampau)|f2s2p;f2s2p
he'd|dia (laki-laki) akan; dia (laki-laki) sudah (bentuk perfek lampau)|f3s;f3s
she'd|dia (perempuan) akan; dia (perempuan) sudah (bentuk perfek lampau)|f3s;f3s
it'd|itu akan; itu sudah (bentuk perfek lampau)|f3s;f3s
we'd|kami akan; kami sudah (bentuk perfek lampau)|f1p;f1p
they'd|mereka akan; mereka sudah (bentuk perfek lampau)|f3p;f3p
needn't|tidak perlu|o
o'clock|pukul, jam (menyebutkan waktu)|o
ma'am|Bu, Nyonya (sapaan sopan kepada wanita)|o
y'all|kalian (tidak resmi, AS bagian selatan)|f2s2p
c'mon|ayo (informal)|o
monetary|berkaitan dengan uang dan peredarannya, terutama oleh bank sentral|o
fiscal|berkaitan dengan pajak dan belanja pemerintah|o
eurozone|zona euro, kelompok negara pengguna euro|o
inflation|kenaikan harga secara umum; pengisian dengan udara|o;o
deficit|kekurangan, saat pengeluaran melebihi pendapatan|o
export|mengekspor, menjual barang ke negara lain|v
stability|kestabilan, keadaan tidak berubah atau goyah|o
debut|penampilan atau pertunjukan pertama|o
anti|anti, menentang|o
economist|ekonom, ahli ekonomi|o
infrastructure|prasarana, sistem dasar suatu negara seperti jalan, listrik, dan air|o
unemployment|keadaan tidak punya pekerjaan; jumlah pengangguran|o;o
policymaker|pembuat kebijakan pemerintah atau organisasi|o
innovation|gagasan atau metode baru; pembaruan, pengenalan gagasan baru|o;o
emission|emisi, pelepasan gas atau zat lain ke udara|o
inequality|ketimpangan, pembagian kekayaan atau hak yang tidak merata|o
sustainable|berkelanjutan, dapat bertahan lama tanpa menimbulkan kerusakan|o
recession|resesi, masa ketika ekonomi menyusut|o
economics|ilmu ekonomi|o
productivity|produktivitas, hasil yang dicapai dibanding usaha atau waktu|o
implement|melaksanakan, menerapkan|v
largely|sebagian besar, terutama|o
globalization|globalisasi, makin eratnya hubungan ekonomi dan budaya di seluruh dunia|o
commentator|komentator, pengamat di media|o
governance|tata kelola organisasi atau negara|o
consumption|konsumsi, pemakaian barang atau energi; makan atau minum|o;o
trillion|triliun (1.000.000.000.000)|o
sanction|sanksi terhadap suatu negara; izin resmi|o;o
integration|penyatuan bagian-bagian menjadi satu; pembauran suatu kelompok dalam masyarakat|o;o
structural|struktural, berkaitan dengan struktur dasar|o
