# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in Portuguese. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows Portuguese where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|você, vocês (uma ou várias pessoas)|f2s2p
notably|especialmente, notadamente; notavelmente|o;o
undertake|empreender, assumir|v
ranking|classificação, posição no ranking|o
nineteenth|décimo nono|o
orient|orientar, direcionar; orientar-se|v;v
volatility|volatilidade|o
developer|incorporadora (imobiliária), desenvolvedor (de software)|o
characterize|caracterizar, descrever; caracterizar, ser típico de|v;v
substantially|substancialmente, consideravelmente|o
safeguard|proteger, salvaguardar|v
empower|empoderar, capacitar|v
crore|crore, dez milhões (na Índia e sul da Ásia)|o
constrain|restringir, limitar|v
impede|impedir, dificultar|v
multi|multi-, vários|o
subtract|subtrair|v
demographic|demográfico; grupo demográfico|o;o
earnings|ganhos, rendimentos; lucros (de empresa)|o;o
undoubtedly|sem dúvida|o
vulnerability|vulnerabilidade|o
bankruptcy|falência|o
effectiveness|eficácia|o
originate|originar-se, provir|v
broadly|de modo geral; amplamente|o;o
lender|credor, instituição que empresta|o
mainstream|corrente dominante, convencional|o
protectionism|protecionismo|o
underpin|sustentar, fundamentar|v
clinical|clínico; frio, distante|o;o
congressional|do Congresso, parlamentar|o
recipient|destinatário, beneficiário|o
uncertain|incerto, inseguro; incerto, desconhecido|o;o
fundamentally|fundamentalmente|o
entail|implicar, acarretar|v
allocate|alocar, distribuir, atribuir|v
entity|entidade|o
semi|semi-, meio, parcialmente|o
resilience|resiliência|o
cyber|ciber-, cibernético|o
decisive|decisivo; decidido, resoluto|o;o
assert|afirmar; fazer valer (um direito)|v;v
widen|alargar(-se), ampliar(-se)|v
flexible|flexível; adaptável|o;o
transgender|transgênero|o
representation|representação (em nome de outros); representação, retrato|o;o
diverse|diverso, variado|o
erode|erodir, desgastar|v
historically|historicamente, no passado; historicamente, em termos históricos|o;o
worsen|piorar|v
variant|variante|o
mobility|mobilidade; mobilidade social|o;o
seemingly|aparentemente|o
turmoil|tumulto, agitação|o
bolster|reforçar, apoiar|v
influential|influente|o
prolong|prolongar|v
protester|manifestante|o
taxation|tributação|o
persist|persistir, continuar; persistir, insistir|v;v
upcoming|próximo, iminente|o
multinational|multinacional|o
municipality|município|o
uphold|manter, defender|v
flexibility|flexibilidade|o
loom|ameaçar, estar iminente|v
query|consulta, pergunta|o
empathy|empatia|o
precede|preceder|v
colonial|colonial|o
revival|renascimento, retomada|o
escalate|intensificar(-se), agravar(-se)|v
exporter|exportador|o
cognitive|cognitivo|o
workforce|força de trabalho, mão de obra|o
controversy|controvérsia, polêmica|o
destabilize|desestabilizar|v
enlargement|ampliação, expansão|o
indigenous|indígena, nativo|o
transatlantic|transatlântico|o
accumulate|acumular|v
municipal|municipal|o
transparent|transparente, franco; transparente|o;o
equilibrium|equilíbrio|o
erupt|irromper, estourar; entrar em erupção (vulcão)|v;v
simplify|simplificar|v
popularity|popularidade|o
criterion|critério|o
linguistic|linguístico|o
affordable|acessível, de preço razoável|o
reliance|dependência|o
autonomy|autonomia|o
minimize|minimizar|v
openness|franqueza; abertura (a novas ideias)|o;o
policymaking|formulação de políticas|o
preference|preferência; tratamento preferencial|o;o
decrease|diminuir, reduzir|v
prosperous|próspero|o
array|variedade, conjunto, arranjo|o
consolidate|consolidar, fortalecer; consolidar, unificar|v;v
momentum|impulso, momento (física); ímpeto|o;o
devaluation|desvalorização|o
repression|repressão (controle pela força); repressão (de sentimentos)|o;o
reside|residir, morar|v
adverse|adverso, desfavorável|o
discrimination|discriminação (tratamento injusto); discernimento, capacidade de distinguir|o;o
informal|informal|o
outlook|perspectiva, previsão; atitude, visão|o;o
depreciation|depreciação|o
utility|utilidade; concessionária de serviços públicos (água, luz, gás)|o;o
hash|mistura, bagunça; hash (valor calculado a partir de dados, informática)|o;o
robotic|robótico; mecânico|o;o
dependence|dependência; dependência, vício|o;o
ethical|ético (moralmente correto); ético (relativo à ética)|o;o
gov|governo (abreviação)|o
animation|animação (filmes); animação, vivacidade|o;o
awareness|consciência, conhecimento|o
endorse|apoiar publicamente, endossar|v
aftermath|consequências, rescaldo|o
simultaneously|simultaneamente|o
borrower|tomador de empréstimo, mutuário|o
denominator|denominador|o
electorate|eleitorado|o
evident|evidente, óbvio|o
periphery|periferia|o
insufficient|insuficiente|o
interface|interface (entre sistemas); interface (de usuário)|o;o
spectrum|espectro, gama; espectro (luminoso)|o;o
formally|oficialmente, formalmente; formalmente, de modo formal|o;o
protectionist|protecionista|o
underscore|enfatizar, sublinhar|v
fictional|fictício|o
rebalance|reequilibrar|v
reportedly|segundo relatos, supostamente|o
collaborate|colaborar|v
analyst|analista|o
capitalist|capitalista (que apoia o capitalismo); capitalista (investidor)|o;o
chronic|crônico|o
dilemma|dilema|o
portfolio|carteira (de investimentos); portfólio; pasta (de ministro)|o;o;o
module|módulo; módulo, disciplina (de curso)|o;o
theatrical|teatral; exagerado|o;o
consistently|consistentemente, sempre|o
consolidation|consolidação, fortalecimento; consolidação, fusão|o;o
internationally|internacionalmente|o
concession|concessão; desconto|o;o
elevation|altitude; elevação|o;o
integer|número inteiro|o
fraction|fração, pequena parte; fração (número)|o;o
additionally|além disso|o
inter|inter-, entre|o
downward|descendente, para baixo|o
feminism|feminismo|o
persistent|persistente, duradouro; persistente, obstinado|o;o
doctrine|doutrina|o
lag|atraso, defasagem|o
dimensional|dimensional|o
dominance|domínio, predominância|o
actively|ativamente|o
dictator|ditador|o
stakeholder|parte interessada|o
accountable|responsável, que presta contas|o
marginal|marginal, pequeno; marginal, da borda|o;o
outright|completo, total; abertamente|o;o
classification|classificação|o
deteriorate|deteriorar-se, piorar|v
illustrate|ilustrar, exemplificar; ilustrar (com imagens)|v;v
oral|oral, falado; oral, bucal|o;o
inclusion|inclusão|o
mathematical|matemático|o
diplomat|diplomata|o
evolutionary|evolutivo|o
inhabitant|habitante|o
rightly|com razão, corretamente|o
privatization|privatização|o
remake|refilmagem, remake|o
reprise|repetir, reapresentar|v
disability|deficiência|o
integral|essencial, integrante|o
prediction|previsão|o
distinct|distinto, diferente; nítido, claro|o;o
emphasis|ênfase|o
wellbeing|bem-estar|o
curb|conter, limitar|v
neo|neo-, nova forma de|o
prevention|prevenção|o
underway|em andamento|o
controversial|polêmico, controverso|o
memoir|memórias, autobiografia|o
backlash|reação negativa, retaliação|o
density|densidade; densidade (massa por volume)|o;o
veto|veto|o
mounting|crescente|o
cyclical|cíclico|o
favorable|favorável, positivo; favorável, vantajoso|o;o
phi|fi (letra grega φ)|o
provider|provedor, fornecedor (de um serviço)|o
accession|adesão (a organização ou tratado); ascensão (ao trono ou cargo)|o;o
habitat|hábitat|o
magnitude|magnitude, tamanho, importância; magnitude (de terremoto)|o;o
duo|dupla, duo|o
coronavirus|coronavírus|o
proclaim|proclamar|v
laureate|laureado, premiado|o
aspiration|aspiração, ambição|o
interpretation|interpretação (explicação do sentido); interpretação (de uma obra)|o;o
portrayal|retrato, representação|o
screenwriter|roteirista|o
variation|variação, diferença; variação, versão diferente|o;o
multilateralism|multilateralismo|o
subsidize|subsidiar|v
bureaucracy|burocracia (governo por funcionários); burocracia (excesso de trâmites)|o;o
conservation|conservação, preservação|o
autism|autismo|o
devise|conceber, inventar|v
opt|optar|v
commentary|comentário, narração (de um evento); comentários, notas explicativas|o;o
traditionally|tradicionalmente|o
manufacturer|fabricante|o
variance|diferença, divergência; variância (estatística)|o;o
interval|intervalo (de tempo ou espaço); intervalo (de espetáculo)|o;o
modernization|modernização|o
considerably|consideravelmente|o
molecular|molecular|o
gradual|gradual|o
mortality|mortalidade (taxa de mortes); mortalidade (condição de mortal)|o;o
reluctant|relutante, hesitante|o
drought|seca, estiagem|o
albeit|embora, ainda que|o
insecurity|insegurança (falta de confiança); insegurança (falta de segurança)|o;o
unify|unificar|v
exploration|exploração (viagem de descoberta); exploração, exame|o;o
dioxide|dióxido|o
binding|vinculante, obrigatório|o
subsidiary|subsidiária|o
threshold|limiar, patamar; soleira|o;o
debtor|devedor|o
ensemble|conjunto, grupo (de artistas)|o
facto|(em de facto) de fato, na prática|o
beneficial|benéfico, vantajoso|o
certify|certificar|v
coefficient|coeficiente|o
maximize|maximizar|v
unilateral|unilateral|o
manipulation|manipulação (desonesta); manuseio hábil|o;o
automation|automação|o
judicial|judicial|o
logo|logotipo|o
retail|varejo|o
consisted|consistiu, passado de consist|o
consul|cônsul|o
extremism|extremismo|o
genocide|genocídio|o
healthcare|assistência médica, saúde|o
incumbent|atual titular do cargo|o
biodiversity|biodiversidade|o
crochet|fazer crochê|v
amid|em meio a, durante|o
resilient|resiliente|o
pronunciation|pronúncia|o
protagonist|protagonista|o
digit|dígito; dedo (da mão ou do pé)|o;o
reconstruction|reconstrução|o
catastrophic|catastrófico|o
cooperative|cooperativo, prestativo|o
unrest|agitação, distúrbios|o
unwilling|relutante, sem vontade|o
destructive|destrutivo|o
infinity|infinito|o
avert|evitar, impedir; desviar (o olhar)|v;v
browser|navegador|o
inefficient|ineficiente|o
inscription|inscrição|o
inverse|inverso|o
allocation|cota, parcela; alocação, distribuição|o;o
imprint|marca, impressão; selo editorial|o;o
differ|diferir, ser diferente; discordar|v;v
famously|como se sabe, notoriamente|o
revise|revisar, corrigir; revisar, estudar para prova|v;v
acute|agudo, grave; agudo, afiado|o;o
coastal|costeiro, litorâneo|o
navigate|navegar, orientar-se; lidar com|v;v
delegation|delegação (grupo de representantes); delegação (de tarefas)|o;o
entrench|consolidar, arraigar|v
filmmaker|cineasta|o
plummet|despencar|v
disastrous|desastroso|o
hostility|hostilidade|o
precedent|precedente|o
diagram|diagrama|o
franchise|franquia (licença comercial); franquia (série de filmes); direito de voto|o;o;o
reconcile|reconciliar; conciliar, compatibilizar|v;v
specify|especificar|v
architectural|arquitetônico|o
racial|racial|o
constellation|constelação|o
deem|considerar, julgar|v
pipeline|oleoduto, gasoduto; fila de projetos planejados|o;o
novelist|romancista|o
nutrition|nutrição, alimentação|o
synthetic|sintético, artificial|o
reconciliation|reconciliação|o
unconventional|não convencional, incomum|o
biologist|biólogo|o
constructive|construtivo|o
explicitly|explicitamente|o
inability|incapacidade|o
voltage|voltagem, tensão elétrica|o
rein|(em rein in) conter, controlar; rédea|v;o
continuous|contínuo|o
deter|dissuadir, impedir|v
militant|militante|o
predictable|previsível|o
textile|tecido, têxtil|o
dismantle|desmontar, desmantelar|v
foremost|principal, mais importante|o
hedge|proteção, hedge (contra perdas financeiras); cerca viva, sebe|o;o
jeopardize|pôr em risco|v
superpower|superpotência|o
convergence|convergência|o
disparity|disparidade, desigualdade|o
optimism|otimismo|o
rivalry|rivalidade|o
usage|uso|o
workplace|local de trabalho|o
sufficiently|suficientemente|o
unveil|revelar, apresentar ao público|v
cortex|córtex|o
namely|ou seja, a saber|o
pixel|pixel|o
racism|racismo|o
comparable|comparável, semelhante|o
dividend|dividendo|o
judiciary|Judiciário, poder judiciário|o
accordingly|consequentemente; adequadamente|o;o
premium|ágio, valor adicional; prêmio (de seguro)|o;o
prompt|provocar, levar a, estimular|v
ballot|votação; cédula eleitoral|o;o
embody|encarnar, personificar|v
inflationary|inflacionário|o
livelihood|sustento, meio de vida|o
ineffective|ineficaz|o
orbital|orbital|o
chimpanzee|chimpanzé|o
transit|trânsito, passagem, transporte|o
disagreement|desacordo, discordância|o
problematic|problemático|o
reversal|reversão, inversão|o
accommodate|acomodar, alojar; adaptar-se a|v;v
likelihood|probabilidade|o
mathematician|matemático|o
mutually|mutuamente|o
volatile|volátil, instável|o
desirable|desejável|o
pianist|pianista|o
pika|pika (pequeno mamífero da montanha, parente do coelho)|o
faction|facção|o
vertical|vertical|o
abstract|abstrato|o
adhere|aderir (a regras), cumprir; aderir, grudar|v;v
microscope|microscópio|o
trait|traço, característica|o
diameter|diâmetro|o
neural|neural|o
binary|binário (de duas partes); binário (baseado em 0 e 1)|o;o
dynamism|dinamismo|o
numerator|numerador|o
optimal|ideal, ótimo|o
trajectory|trajetória (de um objeto); trajetória (percurso de desenvolvimento)|o;o
chromosome|cromossomo|o
ultra|ultra-, extremamente|o
acceleration|aceleração|o
feasible|viável, factível|o
provincial|provincial; provinciano, tacanho|o;o
heighten|aumentar, intensificar|v
hypothesis|hipótese|o
disadvantage|desvantagem|o
quota|cota|o
steadily|gradualmente, de forma constante|o
whereby|pelo qual, mediante o qual|o
bisexual|bissexual|o
mutation|mutação|o
shortfall|déficit, falta|o
acoustic|acústico; acústico (instrumento não elétrico)|o;o
embed|embutir, incorporar|v
oversee|supervisionar|v
refusal|recusa|o
modernize|modernizar|v
broaden|ampliar, alargar|v
dire|terrível, gravíssimo|o
notation|notação|o
acceptance|aceitação; aprovação|o;o
affiliate|afiliada, organização associada|o
curtail|restringir, reduzir|v
explicit|explícito, claro; explícito (com sexo ou violência)|o;o
replicate|replicar, reproduzir|v
geographic|geográfico|o
nutrient|nutriente|o
incite|incitar, instigar|v
sexuality|sexualidade|o
coherent|coerente|o
existential|existencial; existencial (que ameaça a sobrevivência)|o;o
overthrow|derrubar|v
rejection|rejeição|o
accessible|acessível|o
autobiography|autobiografia|o
extinction|extinção|o
socially|socialmente (em termos de sociedade); socialmente (em companhia de outros)|o;o
chronology|cronologia|o
discontent|descontentamento|o
geezer|cara, sujeito (informal)|o
governmental|governamental|o
membrane|membrana|o
redistribution|redistribuição, especialmente de riqueza|o
rethink|repensar|v
trilogy|trilogia|o
voluntary|voluntário (por escolha); voluntário, não remunerado|o;o
autonomous|autônomo|o
citizenship|cidadania|o
enzyme|enzima|o
marginalize|marginalizar|v
negotiator|negociador|o
presenter|apresentador|o
scarce|escasso, raro|o
theorem|teorema|o
deregulation|desregulamentação|o
orientation|orientação, direção; orientação (atitudes ou crenças); sessão de orientação, integração|o;o;o
plausible|plausível|o
supervision|supervisão|o
tolerance|tolerância (a opiniões diferentes); tolerância, resistência|o;o
cameo|participação especial|o
dialect|dialeto|o
globalize|globalizar|v
sigma|sigma (letra grega σ); sigma (símbolo de somatório)|o;o
maternal|materno|o
viral|viral (causado por vírus); viral (na internet)|o;o
accredit|credenciar|v
atheist|ateu|o
dependency|dependência; dependência, território dependente|o;o
enroll|matricular(-se), inscrever(-se)|v
maritime|marítimo|o
ratify|ratificar|v
contraction|contração; contração (forma abreviada, como don't)|o;o
dub|apelidar; dublar|v;v
parable|parábola|o
deployment|mobilização, envio (de tropas ou recursos)|o
partially|parcialmente|o
upward|ascendente, para cima|o
acquisition|aquisição (de empresa ou ativo); aquisição, aprendizado (de habilidade ou língua)|o;o
civic|cívico, municipal|o
commemorate|comemorar, homenagear a memória de|v
pathway|caminho, trilha; percurso, sequência de etapas|o;o
distinction|distinção, diferença; distinção, honra|o;o
guitarist|guitarrista, violonista|o
mindset|mentalidade|o
anthology|antologia, coletânea|o
arsenal|arsenal|o
catalog|catálogo|o
denounce|denunciar, condenar publicamente|v
meltdown|colapso; fusão do núcleo (de reator nuclear)|o;o
shortcoming|defeito, deficiência|o
pinkie|dedo mindinho|o
receptor|receptor|o
polynomial|polinômio|o
pragmatic|pragmático|o
restraint|autocontrole, moderação; restrição|o;o
solely|unicamente, apenas|o
stabilization|estabilização|o
tradable|negociável, comercializável|o
urbanization|urbanização|o
extensively|amplamente, extensivamente|o
projection|projeção (estimativa futura); projeção (imagem numa tela)|o;o
tribunal|tribunal|o
unfold|desenrolar-se, acontecer; desdobrar, abrir|v;v
cohesion|coesão|o
diversify|diversificar|v
infectious|infeccioso, contagioso|o
restoration|restauração|o
ringer|(em dead ringer) sósia; substituto irregular (numa competição)|o;o
romanize|romanizar, escrever no alfabeto latino|v
surpass|superar, ultrapassar|v
arguably|possivelmente, pode-se dizer que|o
oversight|supervisão, fiscalização; descuido, lapso|o;o
resentment|ressentimento|o
sectarian|sectário|o
contagion|contágio|o
succession|sucessão, série; sucessão (a título ou cargo)|o;o
bureaucrat|burocrata|o
capitalize|aproveitar-se (de); escrever com maiúscula; capitalizar, prover capital|v;v;v
consecutive|consecutivo|o
discredit|desacreditar|v
disruptive|perturbador, disruptivo|o
illiberal|antiliberal, intolerante|o
nurture|cuidar, nutrir, fomentar|v
outlet|loja, ponto de venda; válvula de escape, meio de expressão; veículo de comunicação|o;o;o
parity|paridade, igualdade|o
rapper|rapper|o
bureaucratic|burocrático; burocrático (excesso de trâmites)|o;o
eventual|final, que acaba acontecendo|o
expansionary|expansionista|o
hub|centro, polo; cubo (de roda)|o;o
implicit|implícito|o
ion|íon|o
polarization|polarização|o
aerial|aéreo|o
hegemony|hegemonia|o
nihilist|niilista|o
behavioral|comportamental|o
paradox|paradoxo|o
payoff|recompensa, benefício; suborno, propina|o;o
simulation|simulação|o
diabetes|diabetes|o
indebted|endividado; grato, em dívida|o;o
monarch|monarca|o
accumulation|acúmulo, acumulação|o
omega|ômega (última letra do alfabeto grego, ω)|o
socialism|socialismo|o
symmetry|simetria|o
denote|denotar, indicar|v
equitable|equitativo, justo|o
icon|ícone (símbolo famoso); ícone (na tela)|o;o
prof|professor (informal)|o
industrialization|industrialização|o
paradigm|paradigma, modelo|o
reap|colher (benefícios); colher, ceifar|v;v
vocalist|vocalista|o
sanitation|saneamento|o
denominate|denominar, expressar (numa moeda)|v
illustration|ilustração; exemplo|o;o
recycle|reciclar|v
removal|remoção|o
speculative|especulativo (baseado em suposições); especulativo, arriscado (investimento)|o;o
disarmament|desarmamento|o
fertility|fertilidade (capacidade de ter filhos); fertilidade (do solo)|o;o
uprising|revolta, levante|o
artwork|obra de arte; arte, ilustrações (de uma publicação)|o;o
doctorate|doutorado|o
neuroscience|neurociência|o
optical|óptico|o
straightforward|simples, direto; franco, honesto|o;o
aesthetic|estético|o
expectancy|expectativa (em life expectancy: expectativa de vida)|o
partisan|partidário, faccioso|o
proxy|representante, procurador (pessoa ou país que age por outro)|o
psi|psi (letra grega ψ)|o
incur|incorrer em, arcar com (custo ou penalidade)|v
ironically|ironicamente|o
suffrage|sufrágio, direito de voto|o
exclusively|exclusivamente|o
persecution|perseguição|o
playwright|dramaturgo|o
trio|trio|o
beneficiary|beneficiário|o
compliance|cumprimento, conformidade (com regras)|o
discourse|discussão, debate; discurso (modo de falar sobre um tema)|o;o
industrialize|industrializar|v
presumably|presumivelmente, provavelmente|o
recursive|recursivo|o
seeker|quem busca (ex.: solicitante de asilo)|o
collectively|coletivamente|o
convene|convocar, reunir|v
inhabit|habitar|v
median|mediana|o
complement|complemento|o
correlation|correlação|o
embark|embarcar em, iniciar; embarcar|v;v
unclear|pouco claro, incerto|o
centralize|centralizar|v
emigrate|emigrar|v
prominence|proeminência, destaque|o
rotation|rotação; rodízio, revezamento|o;o
algebra|álgebra|o
archaeological|arqueológico|o
budgetary|orçamentário|o
compilation|compilação, coletânea|o
grievance|queixa, reclamação, mágoa|o
proponent|defensor, proponente|o
adjacent|adjacente, vizinho|o
computation|cálculo, computação|o
distortion|distorção (deformação); distorção (deturpação)|o;o
eradicate|erradicar|v
formulate|formular, elaborar; formular, expressar com precisão|v;v
harmful|prejudicial, nocivo|o
imaging|imagem, diagnóstico por imagem|o
larva|larva|o
resistant|resistente; resistente, contrário|o;o
telecommunication|telecomunicação|o
caste|casta|o
emit|emitir|v
abolish|abolir|v
containment|contenção|o
exemplify|exemplificar|v
foreseeable|previsível|o
atrocity|atrocidade|o
benchmark|referência, parâmetro|o
demise|fim, morte|o
deterrence|dissuasão|o
pointer|dica, conselho; indicador, ponteiro|o;o
shale|xisto|o
calorie|caloria|o
entrepreneurship|empreendedorismo|o
limitation|limitação, restrição; limitação, ponto fraco|o;o
malaise|mal-estar, declínio|o
meditation|meditação|o
oligarch|oligarca|o
practitioner|profissional, praticante|o
crony|comparsa, apadrinhado|o
guideline|diretriz|o
liberalism|liberalismo|o
mater|(em alma mater) escola ou universidade em que se estudou|o
mythology|mitologia|o
overwhelmingly|esmagadoramente|o
compile|compilar, reunir|v
conditional|condicional|o
fairness|justiça, imparcialidade|o
landmark|marco, ponto de referência; marco, divisor de águas|o;o
misguide|enganar, induzir ao erro|v
spacecraft|nave espacial|o
adversary|adversário, inimigo|o
dual|duplo|o
invoke|invocar, citar|v
enrich|enriquecer, melhorar; enriquecer|v;v
liberalize|liberalizar|v
multiplication|multiplicação (de números); multiplicação, aumento|o;o
philosophical|filosófico; resignado, sereno|o;o
polio|poliomielite, pólio|o
critically|gravemente; criticamente|o;o
leftist|esquerdista|o
longstanding|antigo, de longa data|o
reformer|reformador|o
interestingly|curiosamente|o
predominantly|predominantemente|o
residential|residencial|o
stifle|sufocar, reprimir|v
utilize|utilizar|v
legislature|legislativo, poder legislativo|o
obscure|obscuro, pouco conhecido; obscuro, confuso|o;o
profitable|lucrativo, rentável|o
reproduce|reproduzir, copiar; reproduzir-se|v;v
sensory|sensorial|o
summary|resumo|o
theoretical|teórico|o
allele|alelo|o
aspire|aspirar, almejar|v
availability|disponibilidade|o
brink|beira, limiar|o
completion|conclusão|o
emulate|imitar, emular|v
ensue|seguir-se, resultar|v
footballer|jogador de futebol|o
indispensable|indispensável|o
partition|partição, divisão (especialmente de país); divisória|o;o
remarkably|notavelmente, surpreendentemente|o
showcase|exibir, destacar|v
topple|derrubar; tombar, cair|v;v
transnational|transnacional|o
unpopular|impopular|o
grammar|gramática|o
interactive|interativo|o
minimal|mínimo|o
refinery|refinaria|o
respective|respectivo|o
thereafter|depois disso, a partir daí|o
viva|viva! (saudação); defesa oral de tese|o;o
basin|pia, bacia; bacia hidrográfica|o;o
bla|blá-blá-blá, conversa fiada|o
depreciate|depreciar-se, desvalorizar-se|v
editorial|editorial|o
exclusion|exclusão|o
intron|íntron|o
pervasive|disseminado, onipresente|o
tsunami|tsunami|o
disintegration|desintegração|o
nonprofit|sem fins lucrativos; organização sem fins lucrativos|o;o
comparative|comparativo; comparativo (forma do adjetivo que indica "mais", como bigger, better)|o;o
dubious|duvidoso, questionável, suspeito|o
epsilon|épsilon (quinta letra do alfabeto grego); épsilon (quantidade muito pequena, em matemática)|o;o
excessively|excessivamente|o
impunity|impunidade|o
relocate|mudar-se, transferir(-se)|v
disregard|ignorar, desconsiderar|v
erosion|erosão, desgaste|o
installation|instalação (ato de instalar); instalação (equipamento ou edifício)|o;o
inward|para dentro, interno|o
justification|justificativa|o
launching|lançamento (início); lançamento (de foguete ou navio)|o;o
annexation|anexação|o
fungus|fungo|o
scrutiny|escrutínio, exame minucioso|o
tuple|tupla|o
decimal|decimal; número decimal (3,5)|o;o
extinct|extinto (espécie); extinto (vulcão)|o;o
functional|funcional, prático; funcional (relativo à função)|o;o
garner|reunir, obter, conquistar (apoio, elogios)|v
tangent|tangente; digressão, mudança súbita de assunto|o;o
aggravate|agravar, piorar; irritar|v;v
excellence|excelência|o
merger|fusão (de empresas)|o
overhaul|revisar a fundo, reformular|v
pave|pavimentar, calçar|v
horizontal|horizontal|o
outflow|saída, fuga (especialmente de dinheiro ou líquido)|o
rectangle|retângulo|o
allegedly|supostamente, alegadamente|o
authoritarianism|autoritarismo|o
contradiction|contradição|o
efficiently|com eficiência|o
heterosexual|heterossexual|o
obesity|obesidade|o
vastly|enormemente, imensamente|o
downside|desvantagem, lado negativo|o
homosexuality|homossexualidade|o
skepticism|ceticismo|o
slump|queda brusca (de preços, vendas ou atividade); desabar, largar-se|o;v
wield|empunhar, manejar; exercer (poder)|v;v
metric|métrica, indicador; métrico (sistema métrico)|o;o
reasonably|razoavelmente, bastante; sensatamente|o;o
routinely|rotineiramente|o
similarity|semelhança|o
biographical|biográfico|o
broadcaster|emissora (de rádio ou TV); apresentador, locutor|o;o
degradation|degradação, deterioração; humilhação|o;o
democratically|democraticamente|o
fallout|consequências negativas; precipitação radioativa|o;o
lockdown|lockdown, confinamento|o
outline|esboço, resumo; contorno|o;o
rebound|recuperar-se, voltar a subir|v
sodium|sódio|o
stagnate|estagnar|v
statistical|estatístico|o
systematic|sistemático, metódico|o
urgency|urgência|o
administrator|administrador|o
compact|compacto; pacto, acordo|o;o
nucleus|núcleo (de átomo ou célula); núcleo, cerne|o;o
deflationary|deflacionário|o
folder|pasta|o
journalism|jornalismo|o
unequal|desigual|o
ample|amplo, abundante, de sobra|o
astronomer|astrônomo|o
controller|controlador, gestor; controle (dispositivo)|o;o
deity|divindade|o
deleveraging|desalavancagem|o
overview|visão geral, panorama|o
repayment|pagamento, reembolso (de dívida)|o
comply|cumprir, obedecer|v
mosaic|mosaico; mosaico, mistura|o;o
poise|serenidade, equilíbrio, compostura|o
protracted|prolongado, demorado|o
simulate|simular|v
alienate|afastar, alienar|v
arc|arco; arco narrativo|o;o
fundamentalist|fundamentalista|o
impoverish|empobrecer|v
overly|excessivamente, demasiado|o
tuberculosis|tuberculose|o
uranium|urânio|o
applejack|aguardente de maçã|o
augment|aumentar, ampliar|v
copyright|direitos autorais|o
fubar|totalmente estragado, arruinado (gíria)|o
imprisonment|prisão, encarceramento|o
lambda|lambda (décima primeira letra do alfabeto grego)|o
literacy|alfabetização|o
macro|macro, em grande escala; macro (sequência de comandos gravados)|o;o
restructure|reestruturar|v
contemplate|contemplar, considerar, ponderar|v
democratization|democratização|o
designation|designação, título; nomeação|o;o
dissent|dissidência, discordância|o
formidable|formidável, temível|o
iteration|iteração, versão; iteração (etapa de um processo repetido)|o;o
prone|propenso, suscetível; de bruços|o;o
proton|próton|o
rainforest|floresta tropical|o
saver|poupador; economizador (de tempo, energia)|o;o
smartphone|smartphone, celular|o
unification|unificação|o
wireless|sem fio|o
anthem|hino|o
crackdown|repressão, ofensiva (contra algo)|o
disproportionately|desproporcionalmente|o
dysfunctional|disfuncional|o
financially|financeiramente|o
parenthesis|parêntese; aparte, observação intercalada|o;o
tenure|mandato, gestão; estabilidade no cargo|o;o
conversion|conversão; conversão (religiosa)|o;o
premature|prematuro|o
alga|alga|o
deviation|desvio|o
gradient|declive, inclinação; gradiente, taxa de variação|o;o
lesser|menor|o
micro|micro, em pequena escala|o
outsource|terceirizar|v
rampant|desenfreado, galopante|o
thermal|térmico|o
upheaval|reviravolta, convulsão|o
annex|anexar; anexo (prédio)|v;o
finite|finito, limitado|o
geographical|geográfico|o
postwar|pós-guerra|o
subscription|assinatura|o
tutorial|tutorial, aula|o
bulk|maior parte; volume, grande quantidade|o;o
clout|influência, poder|o
concerted|conjunto, concertado|o
dissident|dissidente|o
distrust|desconfiança|o
encompass|abranger, englobar|v
interconnect|interligar(-se)|v
preview|prévia, pré-estreia|o
skeptical|cético|o
succumb|sucumbir, ceder; sucumbir, morrer (de doença)|v;v
unilaterally|unilateralmente|o
anime|anime|o
hamper|dificultar, atrapalhar|v
inaction|inação|o
inaugural|inaugural|o
spillover|efeito colateral, transbordamento|o
adequately|adequadamente|o
contributor|contribuinte, colaborador; colaborador (de publicação)|o;o
critique|crítica, análise crítica|o
differential|diferencial, diferença; diferencial|o;o
famine|fome, escassez extrema de alimentos|o
radically|radicalmente|o
censorship|censura|o
exponential|exponencial (crescimento); exponencial (com expoente)|o;o
intensity|intensidade|o
interim|interino, provisório|o
rationale|fundamento, justificativa|o
stagnant|parado, estagnado (água); estagnado (sem crescimento)|o;o
consort|consorte; associar-se a, andar com|o;v
demonstrator|manifestante; demonstrador|o;o
materialize|concretizar-se; materializar-se, aparecer|v;v
myriad|inúmeros, miríade|o
notwithstanding|não obstante, apesar de|o
paragraph|parágrafo|o
undies|roupa íntima, calcinha ou cueca (informal)|o
anemic|fraco, sem energia; anêmico|o;o
