# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in English. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt.
#
# feats states the class and person of each sense, in the same order and with
# the same ";" separator as the gloss: v=verb, f=finite, g=grammatical,
# n=expression, o=other, followed by any persons (1s 2s 3s 1p 2p 3p). It is
# generated from the gloss, so correct the gloss and re-run — never this.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|you (one person or several)|f2s2p
toothbrush|small brush for cleaning the teeth|o
yummy|delicious (informal)|o
courier|person who carries parcels or messages|o
legion|large body of soldiers; great number|o;o
weekly|once a week, every week|o
briefing|meeting where the facts are given out|o
tighten|to make tighter|v
clam|shellfish with two hinged shells, eaten as food|o
enlighten|to make clear to someone who did not know|v
currency|money of a country|o
bathtub|long container you sit in to wash|o
mild|gentle, not severe; not strong in taste; warm in weather|o;o;o
fourteen|14|o
smuggling|bringing goods in secretly against the law|o
chancellor|head of a government or university; chief minister of finance|o;o
beaver|animal with strong teeth that dams streams|o
countless|too many to be counted|o
specialize|to give all your work to one branch of a subject|v
kettle|covered pot for boiling water|o
compass|instrument with a needle that points north|o
preliminary|coming first, before the main part|o
restrict|to keep within limits|v
fiber|thin thread; rough part of food that helps digestion|o;o
runaway|person who has run away; out of control|o;o
sow|to put seed in the ground; female pig|v;o
clapping|(sound of hands struck together)|g
psychiatric|to do with treating illness of the mind|v
compensation|money paid to make up for loss or harm|o
roughly|about, not exactly; not gently|o;o
snuck|snuck, past of sneak|o
yawn|to open the mouth wide when tired|v
arch|curved structure over an opening; to bend into a curve|o;v
diver|person who swims under water|o
environmental|to do with the natural surroundings|v
mam|mother (British dialect)|o
preach|to give a religious talk; to urge others to be good|v;v
beacon|light set up as a signal or guide|o
diplomatic|to do with relations between countries; tactful|v;o
loading|putting a load on or in|o
psychopath|person with no conscience who may act violently|o
reef|ridge of rock or coral near the surface of the sea|o
spade|tool with a flat blade for digging|o
context|words around a passage; setting that gives the meaning|o;o
stereo|sound system with two speakers|o
banish|to send away from a country as a punishment|v
enchant|to charm greatly; to put under a spell|v;v
whinny|(gentle neighing sound of a horse)|g
nuisance|person or thing that annoys|o
terrorism|use of violence for political ends|o
ungrateful|not thankful for what was done for you|o
neutral|taking neither side; with no strong quality|o;o
workin|working (informal spelling)|o
presidential|of a president|o
pastry|dough of flour and fat baked as a crust; small cake|o;o
revelation|surprising fact made known; showing of divine truth|o;o
surprisingly|in a way you would not expect|o
automatically|by itself, with no one working it; without thinking|o;o
diagnose|to say what illness or fault there is|v
gasoline|fuel for cars (American)|o
cockroach|large brown insect found in dirty buildings|o
convent|house where nuns live|o
component|one part of a machine or system|o
artifact|object made by people, especially an old one|o
meth|strong illegal stimulant drug|o
youngster|young person|o
ifyou|(misprint of "if you") if you|o
capsule|small case of medicine you swallow; part of a spacecraft|o;o
denial|saying that something is not true; refusing to give|o;o
metro|underground railway of a city|o
comparison|looking at how things are alike and different|o
blackout|loss of light or power; loss of memory or consciousness|o;o
neigh|(long call of a horse)|g
allowance|money given regularly; amount allowed|o;o
gutter|channel at the edge of a road or roof for water|o
slavery|owning of people as property; hard unpaid toil|o;o
console|to comfort someone in sorrow; panel of controls|v;o
coverage|amount reported by the news; extent something covers|o;o
pry|to look into what is not your business; to force open|v;v
specially|for one purpose in particular|o
superstar|very famous performer|o
warmer|less cold; device that keeps something warm|o;o
chunk|thick solid piece|o
frontier|border between countries; edge of what is known|o;o
holler|to shout loudly (American)|v
daughter-in-law|wife of your son|o
ammo|ammunition (informal)|o
typing|writing on a keyboard|o
patriot|person who loves their country|o
debris|scattered pieces left after damage|o
eyewitness|person who saw something happen|o
hamlet|small village|o
intervention|stepping in to change what is happening|o
protector|person or thing that protects|o
disturbance|breaking of the peace; upset|o;o
quack|(short harsh sound of a duck); person who pretends to be a doctor|g;o
rewrite|to write again in a different way|v
harassment|troubling someone again and again|o
curl|to twist into a curve; ring of hair|v;o
missus|wife (informal); (used in speaking to a woman)|o;g
monitoring|watching and checking over time|o
inventory|full list of goods in stock|o
hassle|trouble and bother; to pester|o;v
enhance|to make better or stronger|v
hacker|person who breaks into computer systems|o
govern|to rule a country; to control|v;v
long-term|lasting or looking far into the future|o
serum|liquid part of blood; medicine made from it|o;o
vile|disgusting, very bad|o
imaginary|existing only in the mind|o
mosque|building where Muslims worship|o
artillery|heavy guns; the part of an army that uses them|o;o
hypocrite|person who says one thing and does another|o
disc|flat round object; record or CD|o;o
exceptional|far better than usual; out of the ordinary|o;o
irony|saying the opposite of what is meant; odd turn of events|o;o
reactor|apparatus in which nuclear energy is made|o
bikini|two-piece swimming costume for women|o
humour|humour, British spelling of humor|o
parlor|sitting room; shop giving a personal service|o;o
pharaoh|ruler of ancient Egypt|o
chimney|pipe that takes smoke out of a building|o
cadet|young person training for the forces or police|o
suppress|to put down by force; to keep from being known|v;v
handicap|thing that makes life or a task harder|o
iet|(misprint of let) let|o
pr|PR, public relations, work of building a good image|o
moo|(low call of a cow)|g
bliss|perfect happiness|o
equip|to supply with what is needed|v
banquet|grand formal dinner|o
dungeon|dark underground prison|o
outrage|act that shocks and angers; great anger|o;o
shameless|feeling no shame for behaving badly|o
meteor|piece of rock burning up as it enters the air|o
ballistic|of missiles in flight; go ballistic: to lose your temper|o;n
harness|straps for a horse or a worker; to bring under control for use|o;v
turf|surface layer of grass and roots|o
vulture|large bird that feeds on dead animals|o
duh|(said to show something is obvious)|g
fingernail|hard covering at the end of a finger|o
wrath|great anger|o
jurisdiction|power to apply the law; area over which it runs|o;o
attendant|person whose job is to serve or look after|o
regional|of one area of a country|o
peacefully|calmly, without fighting|o
filing|putting papers away in order|o
stern|strict and severe; back part of a ship|o;o
dearly|very much; at great cost|o;o
pharmacy|shop where medicines are made up and sold|o
worldwide|all over the world|o
rite|set form of religious ceremony|o
manuscript|book or paper written by hand; author's text before printing|o;o
underworld|world of organised crime; home of the dead in old stories|o;o
cackle|(harsh broken laugh)|g
curly|with curls, twisting round|o
performer|person who acts, sings or plays before an audience|o
bidding|what someone orders you to do; making of offers at a sale|o;o
hallucination|seeing or hearing what is not there|o
oppa|(Korean) older brother, used by a woman|o
pentagon|five-sided shape; the Pentagon: US defence headquarters|o;n
scorpion|small desert animal with a sting in its tail|o
squat|to sit on your heels; to live in an empty building without right|v;v
contempt|feeling that someone is worthless|o
formality|thing done only because the rules require it; stiff correctness|o;o
altitude|height above sea level|o
royalty|the king or queen and their family; payment to an author|o;o
vaccine|substance given to protect against a disease|o
psst|(sound made to get someone's attention quietly)|g
allegation|claim that someone has done wrong, made without proof|o
eyeball|the whole ball of the eye|o
builder|person who puts up buildings|o
cathedral|chief church of a district, with a bishop|o
inspect|to look at closely to check|v
relatively|compared with others, fairly|o
scope|range a subject or job covers; room to act|o;o
supernatural|beyond the laws of nature, of ghosts and magic|o
manifest|to show clearly; clear and plain|v;o
coyote|wild animal like a small wolf in North America|o
spook|ghost (informal); to frighten|o;v
taco|folded Mexican pancake with a filling|o
burglary|breaking into a building to steal|o
leopard|large spotted wild cat|o
merchandise|goods for sale|o
slippery|smooth or wet so you slide on it; not to be trusted|o;o
duchess|wife of a duke; woman of that rank|o;o
gulf|large bay; wide gap between sides|o;o
founder|person who sets up a business or body; to sink or fail|o;v
numerous|many in number (formal)|o
numb|with no feeling in it|o
fiance|man engaged to be married|o
invincible|too strong to be beaten|o
brazilian|of Brazil|o
cafeteria|self-service restaurant|o
sane|of sound mind; sensible|o;o
litter|rubbish left lying about; young animals born together|o;o
radius|distance from the centre of a circle to its edge|o
convey|to carry; to make an idea known|v;v
leftover|food left after a meal; remaining|o;o
keyboard|set of keys on a computer or piano|o
bbc|BBC, the British broadcasting service|o
hull|body of a ship; outer covering of a seed|o;o
raft|flat floating platform of logs or boards|o
moose|large deer of North America with broad antlers|o
caress|to touch gently and lovingly|v
scroll|roll of paper for writing; to move text up a screen|o;v
mercury|silver liquid metal; planet nearest the sun|o;o
revive|to bring back to life or use|v
gracias|(Spanish) thank you|o
coral|hard substance built by tiny sea animals|o
gallon|unit of liquid, about 4.5 litres|o
newly|recently, just now|o
accessory|extra part added; person who helps in a crime|o;o
impatient|not willing to wait|o
quiz|set of questions asked as a game or test|o
prevail|to win in the end; to be common|v;v
ignorance|not knowing; lack of knowledge|o;o
hippie|person of the 1960s who rejected ordinary ways|o
civilized|having a developed and humane way of life|o
margarita|cocktail of tequila and lime|o
mend|to repair; to get better after illness|v;v
distribution|giving out among many; way things are spread|o;o
upload|to send a file to the internet|v
ark|(Noah's ark) ship in the Bible; chest holding holy writings|o;o
transmitter|device that sends out signals|o
voiceover|words spoken by an unseen speaker in a film|o
falcon|bird of prey trained for hunting|o
remedy|cure for an illness; way of putting a wrong right|o;o
unbearable|too painful or unpleasant to put up with|o
brute|cruel violent person; animal|o;o
eerie|strange and frightening|o
juicy|full of juice; full of interesting scandal|o;o
mwah|(sound of a kiss)|g
freaky|strange and unsettling (informal)|o
merge|to join into one|v
unpack|to take things out of a case|v
pact|formal agreement between two sides|o
apparent|easy to see; seeming so, but perhaps not real|o;o
feelin|feeling (informal spelling)|o
rep|representative (informal)|o
devour|to eat hungrily; to take in eagerly|v;v
grim|stern and forbidding; very bad|o;o
medieval|of the middle ages|o
plumb|to measure the depth of; exactly (informal)|v;o
stimulate|to rouse to action; to make more active|v;v
patent|official right to be the only maker of an invention; obvious|o;o
screenplay|script of a film|o
sentiment|feeling or opinion; tender feeling|o;o
stomp|to walk or stamp with heavy steps|v
and-and|(stammered) and|o
driveway|short private road up to a house|o
funky|with a strong dance rhythm; oddly stylish (informal)|o;o
intervene|to step in to change what is happening|v
indulge|to let yourself have what you enjoy; to give in to|v;v
heating|system that keeps a building warm|o
stool|seat with no back|o
architecture|art of designing buildings; way something is built|o;o
organism|any living thing|o
proportion|part of a whole; relation of one amount to another|o;o
martian|of the planet Mars; being from Mars|o;o
unacceptable|not to be allowed or put up with|o
interpret|to explain the meaning of; to translate speech|v;v
devotion|deep love and loyalty; religious worship|o;o
burgers|round flat cakes of minced beef in buns|o
convenience|being easy to use; thing that saves trouble|o;o
overdo|to do too much of|v
plum|soft round fruit with a stone|o
blog|writing put on the internet as a diary|o
collective|shared by a group; farm or business run in common|o;o
heritage|traditions and buildings handed down from the past|o
judgement|judgement, British spelling of judgment|o
renew|to make new again; to make an agreement run on|v;v
lime|small green sour citrus fruit; white substance used in building|o;o
motherfucking|(vulgar, stronger than goddamn) damned, used for emphasis|o
peck|to strike with the beak; quick light kiss|v;o
blur|to make unclear; thing seen without clear outline|v;o
flank|side of the body or of an army|o
a-a|(stammered) a|o
appreciation|being grateful; understanding of the worth of something|o;o
historic|famous in history, worth remembering|o
processing|dealing with in set steps|o
high-pitched|(of a sound) very high|o
homo|(offensive) homosexual man|o
antibiotic|medicine that kills germs in the body|o
loaf|shaped mass of baked bread; to idle about|o;v
portuguese|of Portugal; the Portuguese language|o;o
researcher|person who studies to find out facts|o
valid|holding good in law or reason|o
plaster|paste that dries hard on walls; strip put over a cut|o;o
breeding|producing of young; good upbringing|o;o
hazard|danger; thing that may cause harm|o;o
iove|(misprint of love) love|o
malfunction|failure of a machine to work properly|o
part-time|for only part of the working week|o
bourbon|American whiskey made from maize|o
wah|(sound of crying)|g
ashore|onto or on the shore|o
discretion|care not to say too much; freedom to decide|o;o
shortcut|quicker way to a place or result|o
absent|not there; not paying attention|o;o
machinery|machines as a whole; way a system works|o;o
catastrophe|sudden great disaster|o
gestapo|secret police of Nazi Germany|o
trim|to cut a little off to tidy; neat and in order|v;o
intrude|to come in where you are not wanted|v
knuckle|joint of a finger|o
coo|(soft low sound of a dove); to speak softly and lovingly|g;v
supportive|giving help and encouragement|o
cuddle|to hold close in the arms lovingly|v
deprive|to keep someone from having what they need|v
sissy|(insult) boy or man thought weak|o
toot|(short sound of a horn)|g
wretch|person you pity or despise|o
accounting|keeping of money records|o
expertise|deep skill and knowledge in a field|o
hiccup|sharp catch in the breath that repeats; small setback|o;o
louse|small insect that lives on the body|o
woe|great sorrow; (woes) troubles|o;o
embarrassment|awkward shamed feeling; thing that causes it|o;o
waffle|crisp cake baked in a patterned iron; to talk on with no point|o;v
vanilla|flavour from a tropical pod, used in sweet food|o
queue|line of people waiting; to wait in line|o;v
gent|gentleman (informal)|o
rubbing|moving a hand or cloth over with pressure|o
mimic|to copy the way someone speaks or moves|v
strengthen|to make stronger|v
polar|of the North or South Pole|o
undergo|to go through something unpleasant|v
clamp|device that grips things tightly; to fix firmly|o;v
congrats|congratulations (informal)|o
brotherhood|feeling of fellowship; group joined by a common aim|o;o
pike|long-bodied freshwater fish; old weapon with a long shaft|o;o
understandable|easy to grasp; natural in the circumstances|o;o
yuan|Chinese unit of money|o
publicly|openly, where all can see|o
defect|fault or flaw; to leave your country for the other side|o;v
assassinate|to kill a leader|v
delusion|false belief firmly held|o
ghetto|poor part of a city where one group is shut in|o
disrupt|to break up the smooth running of|v
pilgrim|person who travels to a holy place|o
charter|document setting out rights; to hire a plane or boat|o;v
acquaint|to make familiar with|v
syrup|thick sweet liquid|o
marathon|long race of 42 km; long testing task|o;o
unpredictable|not to be foretold, changing without warning|o
firearm|gun of any kind|o
quarantine|keeping apart to stop disease spreading|o
suspension|barring for a time; springs holding up a vehicle|o;o
alias|false name; also known as|o;o
arouse|to stir up feeling; to wake|v;v
cautious|careful to avoid risk|o
enlist|to join the forces; to get someone's help|v;v
islam|religion of the Muslims|o
seller|person who sells|o
supporter|person who backs a team or cause|o
sermon|religious talk given in church|o
coup|sudden seizing of power; clever successful stroke|o;o
vulgar|rude and coarse; in poor taste|o;o
relic|object left from long ago; part of a saint kept holy|o;o
crisp|hard and dry, breaking easily; fresh and cold|o;o
cone|solid shape narrowing to a point; fruit of a pine tree|o;o
blouse|light shirt worn by women|o
mourn|to grieve for someone who has died|v
spectacle|striking sight; (spectacles) glasses|o;o
bakery|place where bread and cakes are made and sold|o
dent|hollow made in a surface by a blow|o
faculty|power of the mind or body; department of a university|o;o
fiddle|violin; to cheat with money; to fidget with|o;v;v
modify|to change in small ways|v
ecstasy|state of overwhelming joy; illegal drug that lifts the mood|o;o
perceive|to notice; to see in a certain way|v;v
convoy|group of ships or vehicles travelling together for safety|o
tropical|of the hot lands near the equator|o
automobile|car (American)|o
dickhead|(vulgar) stupid person|o
mamma|mamma, another spelling of mama|o
'he|(misprint of he) he|f3s
frustration|feeling of being blocked from what you want|o
meddle|to interfere in what is not your business|v
makin|making (informal spelling)|o
full-time|for the whole working week|o
jumper|knitted garment for the upper body (British); person who jumps|o;o
maneuver|planned movement of troops or a vehicle; clever move|o;o
anomaly|thing that does not fit the usual pattern|o
danish|of Denmark; the Danish language|o;o
empress|woman who rules an empire; wife of an emperor|o;o
shaving|cutting hair from the skin; thin strip cut off|o;o
finale|last part of a show or piece of music|o
slick|smooth and clever, perhaps too much so; slippery|o;o
unarmed|carrying no weapon|o
technician|person skilled in the practical side of a trade|o
prohibit|to forbid by law|v
tactical|planned to gain an advantage|o
teller|person who pays out money in a bank; person who tells|o;o
elope|to run away to marry|v
infiltrate|to get into a group secretly|v
wool|soft hair of sheep; yarn made from it|o;o
crib|baby's bed with high sides; to copy dishonestly|o;v
spotlight|strong light aimed at one place; public attention|o;o
priceless|too valuable to be priced; very funny (informal)|o;o
merci|(French) thank you|o
perception|way of seeing or understanding; power to notice|o;o
considerable|large enough to matter|o
tellin|telling (informal spelling)|o
sidewalk|paved path beside a road (American)|o
positively|definitely, for certain; in a hopeful way|o;o
feminine|of or like a woman|o
tamper|(tamper with) to meddle with so as to damage|v
crust|hard outer part of bread; outer layer of the earth|o;o
partly|in part, not wholly|o
supervise|to watch over work and see it is done properly|v
percentage|amount in each hundred; share|o;o
marquis|nobleman above an earl in rank|o
meatball|small ball of minced meat|o
ripe|fully grown and ready to eat|o
mist|thin cloud at ground level|o
gigantic|very large indeed|o
guv|(British informal) sir, boss|o
conductor|person who leads an orchestra; person who collects fares; material carrying electricity|o;o;o
bypass|road round a town; to go round and avoid|o;v
headmaster|man in charge of a school|o
tenth|10th|o
steep|rising or falling sharply; too high in price|o;o
weave|to make cloth by crossing threads; to move in and out|v;v
quantity|amount, how much there is|o
athletic|good at sport; strong and active|o;o
backstage|behind the stage, out of the audience's sight|o
groove|long narrow cut in a surface|o
compensate|to make up for a loss|v
trend|general direction things are moving in|o
hungarian|of Hungary; the Hungarian language|o;o
amend|to change so as to put right|v
contaminate|to make dirty or poisonous by mixing in|v
motivation|reason that makes someone act; eagerness to work|o;o
chilly|rather cold; unfriendly|o;o
eldest|oldest of three or more|o
feedback|comments on how well something was done|o
repeatedly|again and again|o
exquisite|very fine and beautiful|o
hostess|woman who has guests; woman who serves customers|o;o
socialist|believing the state should own industry for all; person who does|o;o
vanity|too high an opinion of your looks; emptiness of worth|o;o
arctic|of the far north; very cold|o;o
secondary|of less importance; of school after the first stage|o;o
necessity|thing that must be had; being needed|o;o
unsub|(police term) unknown subject of an investigation|o
concussion|injury to the brain from a blow to the head|o
fuckers|(vulgar) despicable people|o
resolution|firm decision; formal decision of a meeting; sharpness of a picture|o;o;o
weasel|small fierce animal with a long body; sly person|o;o
longing|strong wish for something out of reach|o
sly|cunning and secret|o
moss|small soft green plant growing in damp places|o
motto|short saying taken as a rule of conduct|o
yum|(said when food tastes good)|g
collision|crash of two moving things|o
voter|person who votes|o
lava|molten rock flowing from a volcano|o
monthly|once a month, every month|o
midst|middle of a group or a time|o
seminar|small class for discussion|o
gospel|teaching of Christ; one of the first four books of the New Testament|o;o
transcript|written copy of what was said|o
barbarian|person seen as rough and uncivilised|o
bead|small ball of glass or wood strung on a thread|o
serpent|snake|o
splitting|dividing; (of a headache) very bad|o;o
kilometre|kilometre, British spelling of kilometer|o
cosmos|the universe as an ordered whole|o
goody|(cry of childish delight); good character in a story|g;o
curfew|order to be indoors by a set hour|o
equivalent|equal in value or meaning|o
notorious|well known for something bad|o
pitiful|deserving pity; so poor it is shameful|o;o
doorstep|step in front of a door|o
propaganda|information spread to push a cause|o
bronze|brown metal of copper and tin; medal for third place|o;o
trader|person who buys and sells|o
pitcher|large jug; player who throws the ball in baseball|o;o
condo|flat owned by the person living in it (American)|o
fearless|showing no fear|o
'in|(in words like walkin') the ending -ing|o
demo|demonstration; recording made to show what an act can do|o;o
playboy|rich man who lives for pleasure|o
decree|official order with the force of law|o
bouquet|bunch of flowers arranged for giving|o
alternate|every other one; to take turns|o;v
briefly|for a short time; in few words|o;o
experimental|done as a test; trying out new ways|o;o
unfinished|not completed|o
lil|little (informal spelling)|o
mainland|main body of land, not the islands|o
w-what|(stammered) what|o
evaluation|judging of worth or quality|o
indoor|done or used inside a building|o
jockey|person who rides horses in races|o
nip|to pinch or bite sharply; to go quickly (British)|v;v
vine|climbing plant, especially one bearing grapes|o
gender|being male or female|o
pageant|show of people in costume from history|o
seventeen|17|o
openly|not hiding anything|o
deacon|church officer below a priest|o
jackpot|biggest prize in a game of chance|o
printing|putting words on paper by machine|o
shorty|(informal) short person|o
yuck|(sound of disgust)|g
amendment|change made to a law or document|o
overdose|too large a dose of a drug|o
you-you|(stammered) you|f2s2p
tendency|way something is likely to go|o
abduction|taking a person away by force|o
clack|(short hard sound of things knocking)|g
smear|to spread a greasy mark over; to blacken someone's name|v;v
surge|sudden strong rush forward|o
takin|taking (informal spelling)|o
pillar|tall upright post holding up a building|o
sticker|small label with glue on the back|o
democrat|believer in rule by the people; member of the Democratic party|o;o
virginity|state of never having had sex|o
dense|packed close together; stupid (informal)|o;o
leverage|power to influence; use of a lever|o;o
unity|being joined as one; agreement|o;o
guru|religious teacher in India; person others look to for guidance|o;o
thesis|long piece of research written for a degree; idea put forward|o;o
harbour|harbour, British spelling of harbor|o
oof|(sound of being winded by a blow)|g
divert|to turn aside to another route; to amuse|v;v
likewise|in the same way; also|o;o
sunglasses|dark glasses that keep out bright light|o
geek|person keen on computers or study, seen as dull|o
doggy|(child's word) dog; like a dog|o;o
hick|(insult) country person seen as simple|o
douche|(vulgar) contemptible person; wash of the body with water|o;o
fiancee|woman engaged to be married|o
clash|to fight or disagree openly; loud noise of metal striking|v;o
bathe|to wash the body; to swim|v;v
puncture|small hole made by something sharp, especially in a tyre|o
assessment|judging of value or ability|o
apprentice|young person learning a trade on the job|o
pup|young dog or seal|o
cobra|poisonous snake that spreads its neck|o
hydrogen|lightest gas, part of water|o
karaoke|singing to recorded backing music|o
recess|break between sittings of a court or school; space set back in a wall|o;o
adjustment|small change made to put right|o
drummer|person who plays the drums|o
parson|parish priest|o
gravy|sauce made from meat juices|o
severely|very badly; in a strict harsh way|o;o
rainy|with much rain|o
emerald|bright green precious stone|o
cameraman|man who works a film or television camera|o
linger|to stay on longer than expected|v
dwell|to live in a place; dwell on: to keep thinking about|v;n
kindergarten|school for very young children|o
subpoena|written order to appear in court|o
characteristic|typical feature of a person or thing; typical|o;o
hangover|sick feeling the morning after drinking|o
clarify|to make clear|v
swarm|large moving crowd of insects or people|o
cuz|because (informal)|o
improvise|to make up as you go along with what is at hand|v
affirmative|saying yes; (as an answer) yes|o;o
merciful|showing mercy|o
rotate|to turn round a centre; to take turns in order|v;v
shoo|(said to drive an animal away)|g
payback|return for what was done, good or bad; revenge|o;o
prostitution|selling of sex for money|o
vintage|of high quality from an earlier time; year a wine was made|o;o
courthouse|building where legal cases are heard|o
pedal|lever pressed with the foot|o
adjourn|to break off a meeting until later|v
snicker|(quiet mocking laugh)|g
moth|night insect like a butterfly|o
holiness|being holy; His Holiness: title of the pope|o;n
isolation|being kept apart from others|o
transformation|complete change|o
meow|(call of a cat)|g
caravan|home on wheels towed by a car; group travelling together|o;o
loft|space under a roof|o
mp|MP, member of parliament|o
nominate|to put forward for a post or prize|v
greatness|being great|o
repent|to be sorry for a wrong and turn from it|v
solicitor|lawyer who advises clients and prepares cases (British)|o
decency|proper and honest behaviour|o
marking|mark or pattern on something|o
mayday|(radio call for help in great danger)|g
alleged|(said to be) claimed but not proved|o
asap|ASAP, as soon as possible|o
exceed|to go beyond a limit|v
soar|to fly high; to rise quickly|v;v
cuckoo|bird that calls its own name and lays in other nests|o
melon|large juicy fruit with a thick skin|o
brownie|small chocolate cake; girl in the junior Guides|o;o
descendant|person who comes down from an ancestor|o
secondly|in the second place|o
yogurt|thick food made from milk turned sour|o
fishy|smelling of fish; causing suspicion|o;o
tory|member or supporter of the British Conservative party|o
homemade|made at home, not bought|o
paycheck|wages paid; cheque for wages (American)|o;o
genuinely|really, sincerely|o
apron|garment worn over the front to keep clothes clean|o
hybrid|thing made by crossing two kinds|o
requirement|thing that is needed or demanded|o
remorse|deep regret for a wrong done|o
restroom|room with a toilet in a public building (American)|o
courageous|brave|o
splinter|thin sharp piece broken off wood or glass|o
determination|firm purpose that will not give up|o
flourish|to grow well and do well; bold sweeping movement|v;o
publishing|bringing out of books and papers|o
well-known|known to many people|o
blindfold|cloth tied over the eyes|o
testament|proof or tribute; either half of the Bible|o;o
apocalypse|end of the world; great disaster|o;o
phew|(sound of relief)|g
dicks|(vulgar) contemptible men|o
notch|V-shaped cut; step on a scale|o;o
squirt|to send out liquid in a thin jet|v
videotape|tape that stores pictures and sound|o
detonate|to set off an explosion|v
ketchup|thick tomato sauce|o
dazzle|to blind for a moment with bright light; to greatly impress|v;v
declaration|formal public statement|o
tummy|stomach (child's word)|o
yakuza|Japanese organised crime society|o
spiral|curve winding round a centre; to rise or fall out of control|o;v
dim|not bright, hard to see; slow to understand|o;o
lurk|to wait hidden, ready to strike|v
molecule|smallest piece of a substance that keeps its nature|o
legit|honest, within the law (informal)|o
prototype|first model built to test a design|o
caw|(harsh cry of a crow)|g
moreover|besides, what is more|o
organisation|organisation, British spelling of organization|o
heroine|woman admired for brave deeds; main woman in a story|o;o
plaza|open public square in a town; shopping centre|o;o
truce|agreement to stop fighting for a time|o
suburb|outer part of a town where people live|o
hindu|follower of Hinduism; of that religion|o;o
reunite|to bring together again|v
incapable|not able to do something|o
germ|tiny living thing that causes disease|o
hq|HQ, headquarters|o
statistic|figure got from collected facts|o
privately|not in public; not by the state|o;o
consolation|comfort in sorrow; thing that gives it|o;o
fright|sudden fear|o
leaning|sloping; liking that pulls you one way|o;o
mic|microphone (informal)|o
runnin|running (informal spelling)|o
defender|person who defends|o
millennium|period of a thousand years|o
verge|edge or border; on the verge of: about to|o;n
duct|tube or channel carrying air or liquid|o
lucifer|(Lucifer) the Devil|o
redeem|to make up for a fault; to buy back|v;v
stabbing|attack with a knife; (of pain) sharp and sudden|o;o
jewellery|jewellery, British spelling of jewelry|o
chug|(steady puffing sound of an engine)|g
erotic|arousing sexual feeling|o
mercenary|soldier who fights for pay in a foreign army; caring only for money|o;o
captive|person held prisoner; kept shut in|o;o
ale|kind of beer|o
englishman|man from England|o
foe|enemy|o
menace|threat of harm; person who is a nuisance|o;o
redemption|being saved from sin; making up for a fault|o;o
exclude|to keep out; to leave out|v;v
speculation|guessing without full facts; buying in the hope of a profit|o;o
civilisation|civilisation, British spelling of civilization|o
heed|to take notice of; careful attention|v;o
nsa|NSA, the US signals intelligence agency|o
tornado|violent whirling wind that destroys what it crosses|o
plasma|liquid part of blood; hot gas of charged particles|o;o
graphic|shown in vivid detail; of drawing and design|o;o
parcel|thing wrapped up for sending|o
scram|(informal) go away at once|o
cocky|too sure of yourself|o
poo|(child's word) excrement|o
supplier|person or firm that provides goods|o
shuffle|to walk without lifting the feet; to mix cards|v;v
telly|television (British informal)|o
dumpster|large metal bin for building waste (American)|o
imbecile|stupid person|o
isle|island|o
poorly|badly; unwell (British)|o;o
polo|game played on horseback with sticks and a ball|o
bamboo|tall hollow-stemmed grass used for building|o
matrix|grid of numbers or squares; surroundings in which something grows|o;o
firmly|in a way that will not move or give way|o
boast|to speak too proudly of what you have or can do|v
decay|to rot away; to fall into a worse state|v;v
starboard|right side of a ship|o
chauffeur|person paid to drive someone's car|o
closure|closing down; sense of an end reached|o;o
hebrew|of the Hebrews; the Hebrew language|o;o
inconvenience|trouble caused by something awkward|o
withdrawal|taking back or taking out; suffering after giving up a drug|o;o
garrison|troops stationed in a town or fort|o
glitter|to shine with many small flashes|v
chord|notes sounded together|o
saloon|bar in the American West; car with a closed body (British)|o;o
cctv|CCTV, cameras that watch a place|o
darlin|darling (informal spelling)|o
hardship|suffering caused by hard conditions|o
'tis|(old) it is|f3s
calmly|in a quiet steady way|o
mathematics|study of numbers, shapes and quantity|o
treasury|government department that manages money; store of funds|o;o
abbey|building where monks or nuns live; large church|o;o
shameful|deserving shame|o
strategic|planned to serve a long-term aim|o
payroll|list of workers and their pay|o
shilling|old British coin worth twelve pence|o
criticism|finding fault; careful judging of a work of art|o;o
heartless|showing no pity|o
immense|very large indeed|o
tumble|to fall over and over|v
badger|black and white burrowing animal; to pester with questions|o;v
receiver|part of a phone you listen to; device that picks up signals; person who takes stolen goods|o;o;o
pharmaceutical|to do with the making of medicines|v
elimination|getting rid of; knocking out of a contest|o;o
gulp|to swallow quickly in large mouthfuls|v
pineapple|large tropical fruit with a rough skin and sweet flesh|o
'this|(misprint of this) this|o
switching|changing over|o
esteem|high regard for someone|o
stinky|smelling very bad|o
cluster|small close group|o
heil|(German) hail, used in the Nazi salute|o
orderly|neat and in good order; hospital or army attendant|o;o
secrecy|keeping of secrets|o
ahold|(get ahold of) to get hold of, to reach|v
bowel|tube in the body that carries away waste|o
casing|cover that protects something|o
weary|very tired; tired of something|o;o
rue|to be sorry for; wild bitter herb|v;o
extensive|covering a wide area or range|o
lotus|water plant with large flowers, holy in the East|o
optimistic|expecting things to turn out well|o
urgently|in a way that needs action at once|o
maze|network of paths made to puzzle those in it|o
spooky|frightening in a ghostly way|o
